Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,4.827022552490234,0,13,12193,12,5,9700,1921,
1,3.567934036254883,0,12,6390,8,8,3953,1909,
2,3.9768218994140625,0,12,6392,8,8,3955,1909,
3,3.637075424194336,0,12,6397,8,8,3960,1909,
4,3.7539005279541016,0,12,6391,8,8,3954,1909,
5,3.4279823303222656,0,12,6398,8,8,3961,1909,
6,6.34002685546875,0,14,6596,8,10,3953,2027,
7,4.115104675292969,0,12,6398,8,8,3961,1909,
8,3.534078598022461,0,12,6387,8,8,3950,1909,
9,4.987955093383789,0,12,6391,8,8,3954,1909,
10,3.576040267944336,0,12,6394,8,8,3957,1909,
11,3.609895706176758,0,12,6388,8,8,3951,1909,
12,3.2930374145507812,0,12,6397,8,8,3960,1909,
13,3.5829544067382812,0,12,6391,8,8,3954,1909,
14,3.4339427947998047,0,12,6397,8,8,3960,1909,
15,3.7648677825927734,0,12,6396,8,8,3959,1909,
16,4.2209625244140625,0,12,6389,8,8,3952,1909,
17,3.5789012908935547,0,12,6394,8,8,3957,1909,
18,3.4837722778320312,0,12,6399,8,8,3962,1909,
19,3.428936004638672,0,12,6393,8,8,3956,1909,
20,3.8390159606933594,0,12,6397,8,8,3960,1909,
21,3.069162368774414,0,12,6397,8,8,3960,1909,
22,3.4570693969726562,0,12,6396,8,8,3959,1909,
23,3.3719539642333984,0,12,6397,8,8,3960,1909,
24,3.5729408264160156,0,12,6396,8,8,3959,1909,
25,3.612995147705078,0,12,6398,8,8,3961,1909,
26,3.7190914154052734,0,12,6392,8,8,3955,1909,
27,3.9539337158203125,0,12,6390,8,8,3953,1909,
28,3.5791397094726562,0,12,6395,8,8,3958,1909,
29,3.5371780395507812,0,12,6393,8,8,3956,1909,
30,3.9980411529541016,0,12,6395,8,8,3958,1909,
31,3.7941932678222656,0,12,6397,8,8,3960,1909,
32,3.401041030883789,0,12,6388,8,8,3951,1909,
33,3.306150436401367,0,12,6392,8,8,3955,1909,
34,4.060983657836914,0,12,6397,8,8,3960,1909,
35,3.4818649291992188,0,12,6388,8,8,3951,1909,
36,3.535032272338867,0,12,6399,8,8,3962,1909,
37,3.4961700439453125,0,12,6387,8,8,3950,1909,
38,3.2939910888671875,0,12,6388,8,8,3951,1909,
39,3.9670467376708984,0,12,6391,8,8,3954,1909,
40,3.8061141967773438,0,12,6398,8,8,3961,1909,
41,4.05120849609375,0,12,6399,8,8,3962,1909,
42,3.9229393005371094,0,12,6389,8,8,3952,1909,
43,3.177165985107422,0,12,6397,8,8,3960,1909,
44,3.901958465576172,0,12,6387,8,8,3950,1909,
45,3.6640167236328125,0,12,6393,8,8,3956,1909,
