Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617101405.868812,1617101405.883213,0,14.400959014892578,0,16,15730,15,5,13105,1921,,0.0,0,0,
1617101405.895994,1617101405.904037,1,8.043050765991211,0,16,15733,15,5,13108,1921,,0.0,0,0,
1617101405.915835,1617101405.922291,2,6.456136703491211,0,16,15728,15,5,13103,1921,,0.0,0,0,
1617101405.935523,1617101405.942352,3,6.829023361206055,0,16,15722,15,5,13097,1921,,0.0,0,0,
1617101405.954563,1617101405.963344,4,8.781194686889648,0,16,15725,15,5,13100,1921,,0.0,0,0,
1617101405.977024,1617101405.985575,5,8.550882339477539,0,16,15726,15,5,13101,1921,,0.0,0,0,
1617101406.000277,1617101406.009125,6,8.847951889038086,0,16,15724,15,5,13099,1921,,0.0,0,0,
1617101406.023048,1617101406.030318,7,7.270097732543945,0,16,15727,15,5,13102,1921,,0.0,0,0,
1617101406.045192,1617101406.053539,8,8.347034454345703,0,16,15721,15,5,13096,1921,,0.0,0,0,
1617101406.065997,1617101406.075074,9,9.077072143554688,0,16,15729,15,5,13104,1921,,0.0,0,0,
1617101406.086952,1617101406.093781,10,6.829023361206055,0,16,15728,15,5,13103,1921,,0.0,0,0,
1617101406.106415,1617101406.115985,11,9.569883346557617,0,16,15726,15,5,13101,1921,,0.0,0,0,
1617101406.131152,1617101406.138786,12,7.634162902832031,0,16,15722,15,5,13097,1921,,0.0,0,0,
1617101406.152556,1617101406.161403,13,8.84699821472168,0,16,15721,15,5,13096,1921,,0.0,0,0,
1617101406.174585,1617101406.182796,14,8.210897445678711,0,16,15725,15,5,13100,1921,,0.0,0,0,
1617101406.195414,1617101406.203101,15,7.686853408813477,0,16,15733,15,5,13108,1921,,0.0,0,0,
1617101406.218032,1617101406.22625,16,8.218050003051758,0,16,15733,15,5,13108,1921,,0.0,0,0,
1617101406.239556,1617101406.247977,17,8.420944213867188,0,18,15907,17,5,13194,1921,,0.0,0,0,
1617101406.262505,1617101406.271352,18,8.84699821472168,0,16,15725,15,5,13100,1921,,0.0,0,0,
1617101406.285032,1617101406.292298,19,7.266044616699219,0,16,15727,15,5,13102,1921,,0.0,0,0,
1617101406.305636,1617101406.314946,20,9.310007095336914,0,16,15721,15,5,13096,1921,,0.0,0,0,
1617101406.329489,1617101406.337919,21,8.430004119873047,0,16,15721,15,5,13096,1921,,0.0,0,0,
1617101406.350895,1617101406.358368,22,7.472991943359375,0,16,15726,15,5,13101,1921,,0.0,0,0,
1617101406.371525,1617101406.379367,23,7.842063903808594,0,16,15725,15,5,13100,1921,,0.0,0,0,
1617101406.391802,1617101406.400664,24,8.862018585205078,0,16,15726,15,5,13101,1921,,0.0,0,0,
1617101406.413182,1617101406.420841,25,7.658958435058594,0,16,15733,15,5,13108,1921,,0.0,0,0,
1617101406.435826,1617101406.442782,26,6.955862045288086,0,16,15729,15,5,13104,1921,,0.0,0,0,
1617101406.454723,1617101406.463918,27,9.195089340209961,0,16,15728,15,5,13103,1921,,0.0,0,0,
1617101406.477626,1617101406.486718,28,9.091854095458984,0,16,15733,15,5,13108,1921,,0.0,0,0,
1617101406.500225,1617101406.50862,29,8.394956588745117,0,16,15730,15,5,13105,1921,,0.0,0,0,
1617101406.519896,1617101406.52732,30,7.423877716064453,0,18,15904,17,5,13191,1921,,0.0,0,0,
1617101406.540214,1617101406.548489,31,8.275032043457031,0,18,15879,15,7,13104,1983,,0.0,0,0,
1617101406.561752,1617101406.56918,32,7.42793083190918,0,18,15909,17,5,13196,1921,,0.0,0,0,
1617101406.582913,1617101406.589924,33,7.011175155639648,0,18,15907,17,5,13194,1921,,0.0,0,0,
1617101406.603372,1617101406.611945,34,8.572816848754883,0,16,15725,15,5,13100,1921,,0.0,0,0,
1617101406.625581,1617101406.635501,35,9.919881820678711,0,16,15722,15,5,13097,1921,,0.0,0,0,
1617101406.650088,1617101406.658712,36,8.623838424682617,0,18,15904,17,5,13191,1921,,0.0,0,0,
1617101406.671688,1617101406.679629,37,7.941007614135742,0,18,15910,17,5,13197,1921,,0.0,0,0,
1617101406.693458,1617101406.701901,38,8.442878723144531,0,16,15732,15,5,13107,1921,,0.0,0,0,
1617101406.715006,1617101406.724019,39,9.012937545776367,0,16,15723,15,5,13098,1921,,0.0,0,0,
1617101406.736775,1617101406.744455,40,7.680177688598633,0,16,15724,15,5,13099,1921,,0.0,0,0,
1617101406.759272,1617101406.767904,41,8.63194465637207,0,18,15909,17,5,13196,1921,,0.0,0,0,
1617101406.781428,1617101406.788749,42,7.320880889892578,0,18,15903,17,5,13190,1921,,0.0,0,0,
