Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1616976964.195399,1616976964.205527,0,10.128021240234375,0,21,19471,20,5,16626,1921,,0.0,0,0,
1616976964.209085,1616976964.218086,1,9.001016616821289,0,19,19246,18,5,16489,1921,,0.0,0,0,
1616976964.222182,1616976964.231621,2,9.43899154663086,0,19,19239,18,5,16482,1921,,0.0,0,0,
1616976964.234822,1616976964.244119,3,9.296894073486328,0,19,19248,18,5,16491,1921,,0.0,0,0,
1616976964.248127,1616976964.257697,4,9.570121765136719,0,19,19245,18,5,16488,1921,,0.0,0,0,
1616976964.261014,1616976964.269023,5,8.008956909179688,0,19,19241,18,5,16484,1921,,0.0,0,0,
1616976964.272335,1616976964.281584,6,9.248971939086914,0,19,19247,18,5,16490,1921,,0.0,0,0,
1616976964.284772,1616976964.293528,7,8.756160736083984,0,19,19250,18,5,16493,1921,,0.0,0,0,
1616976964.297396,1616976964.306755,8,9.359121322631836,0,19,19240,18,5,16483,1921,,0.0,0,0,
1616976964.310595,1616976964.320583,9,9.988069534301758,0,19,19243,18,5,16486,1921,,0.0,0,0,
1616976964.323565,1616976964.331696,10,8.131027221679688,0,19,19241,18,5,16484,1921,,0.0,0,0,
1616976964.334977,1616976964.343249,11,8.272171020507812,0,19,19246,18,5,16489,1921,,0.0,0,0,
1616976964.346243,1616976964.354957,12,8.71419906616211,0,19,19249,18,5,16492,1921,,0.0,0,0,
1616976964.357891,1616976964.36493,13,7.03883171081543,0,19,19240,18,5,16483,1921,,0.0,0,0,
1616976964.36821,1616976964.376121,14,7.910966873168945,0,19,19248,18,5,16491,1921,,0.0,0,0,
1616976964.379296,1616976964.387258,15,7.96198844909668,0,19,19238,18,5,16481,1921,,0.0,0,0,
