Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065161.344505,1617065161.358353,0,13.847827911376953,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065161.362332,1617065161.369655,1,7.322788238525391,0,9,7436,8,5,5119,1921,,0.0,0,0,
1617065161.372848,1617065161.381317,2,8.468866348266602,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065161.385121,1617065161.39432,3,9.198904037475586,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065161.398279,1617065161.408597,4,10.31804084777832,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065161.411886,1617065161.420825,5,8.939027786254883,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065161.42482,1617065161.433832,6,9.011983871459961,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065161.437303,1617065161.445921,7,8.617877960205078,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065161.449884,1617065161.458782,8,8.898019790649414,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065161.463143,1617065161.471137,9,7.993936538696289,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065161.474173,1617065161.482951,10,8.777856826782227,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065161.486777,1617065161.495635,11,8.857965469360352,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065161.499138,1617065161.508118,12,8.97979736328125,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065161.512215,1617065161.521522,13,9.307146072387695,0,9,7433,8,5,5116,1921,,0.0,0,0,
1617065161.525864,1617065161.535873,14,10.009050369262695,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065161.53885,1617065161.548156,15,9.305953979492188,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065161.55162,1617065161.561789,16,10.169029235839844,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065161.564851,1617065161.57302,17,8.168935775756836,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065161.576808,1617065161.585039,18,8.230924606323242,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065161.589008,1617065161.598144,19,9.135961532592773,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065161.600911,1617065161.609079,20,8.16798210144043,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065161.612664,1617065161.619757,21,7.092952728271484,0,9,7430,8,5,5113,1921,,0.0,0,0,
