Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065642.832117,1617065642.840913,0,8.795976638793945,0,9,7427,8,5,5110,1921,,0.0,0,0,
1617065642.85585,1617065642.864034,1,8.183956146240234,0,9,7435,8,5,5118,1921,,0.0,0,0,
1617065642.878703,1617065642.886485,2,7.781982421875,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065642.899599,1617065642.909894,3,10.294914245605469,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065642.923382,1617065642.931842,4,8.460044860839844,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065642.945139,1617065642.954354,5,9.215116500854492,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065642.967222,1617065642.97483,6,7.607936859130859,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065642.988703,1617065642.998381,7,9.677886962890625,0,11,7574,8,7,5107,1983,,0.0,0,0,
1617065643.011495,1617065643.019385,8,7.889986038208008,0,9,7429,8,5,5112,1921,,0.0,0,0,
1617065643.033721,1617065643.041926,9,8.204936981201172,0,9,7430,8,5,5113,1921,,0.0,0,0,
1617065643.056727,1617065643.064788,10,8.06117057800293,0,9,7424,8,5,5107,1921,,0.0,0,0,
1617065643.078488,1617065643.086464,11,7.97581672668457,0,9,7432,8,5,5115,1921,,0.0,0,0,
1617065643.100847,1617065643.107338,12,6.490945816040039,0,9,7431,8,5,5114,1921,,0.0,0,0,
1617065643.122125,1617065643.129033,13,6.908178329467773,0,9,7428,8,5,5111,1921,,0.0,0,0,
1617065643.142414,1617065643.150265,14,7.850885391235352,0,9,7434,8,5,5117,1921,,0.0,0,0,
1617065643.163573,1617065643.170749,15,7.175922393798828,0,9,7426,8,5,5109,1921,,0.0,0,0,
1617065643.184136,1617065643.191225,16,7.089138031005859,0,9,7430,8,5,5113,1921,,0.0,0,0,
