Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976493.748995,1616976493.757362,0,8.366823196411133,0,16,15730,15,5,13105,1921,
1616976493.761023,1616976493.768843,1,7.819890975952148,0,16,15730,15,5,13105,1921,
1616976493.772634,1616976493.780868,2,8.234024047851562,0,18,15875,15,7,13100,1983,
1616976493.784738,1616976493.794246,3,9.507894515991211,0,16,15723,15,5,13098,1921,
1616976493.796999,1616976493.804557,4,7.558107376098633,0,16,15728,15,5,13103,1921,
1616976493.807743,1616976493.814625,5,6.881952285766602,0,16,15726,15,5,13101,1921,
1616976493.817345,1616976493.825019,6,7.673978805541992,0,16,15721,15,5,13096,1921,
1616976493.828874,1616976493.838029,7,9.154796600341797,0,16,15721,15,5,13096,1921,
1616976493.843236,1616976493.851503,8,8.266925811767578,0,16,15721,15,5,13096,1921,
1616976493.855126,1616976493.861925,9,6.798982620239258,0,16,15730,15,5,13105,1921,
1616976493.86536,1616976493.873163,10,7.8029632568359375,0,16,15728,15,5,13103,1921,
1616976493.876275,1616976493.884307,11,8.031845092773438,0,16,15727,15,5,13102,1921,
1616976493.88831,1616976493.896056,12,7.745981216430664,0,16,15726,15,5,13101,1921,
1616976493.89889,1616976493.905669,13,6.778955459594727,0,18,15907,17,5,13194,1921,
1616976493.90848,1616976493.916346,14,7.866144180297852,0,16,15723,15,5,13098,1921,
1616976493.918924,1616976493.92778,15,8.855819702148438,0,16,15731,15,5,13106,1921,
1616976493.931197,1616976493.93823,16,7.033109664916992,0,17,15812,16,5,13143,1921,
1616976493.941552,1616976493.948312,17,6.760120391845703,0,16,15731,15,5,13106,1921,
1616976493.952411,1616976493.960118,18,7.707118988037109,0,16,15721,15,5,13096,1921,
1616976493.9626,1616976493.969592,19,6.992101669311523,0,16,15723,15,5,13098,1921,
1616976493.973404,1616976493.980558,20,7.153987884521484,0,16,15732,15,5,13107,1921,
1616976493.984389,1616976493.992618,21,8.22901725769043,0,16,15727,15,5,13102,1921,
1616976493.995587,1616976494.002763,22,7.175922393798828,0,16,15728,15,5,13103,1921,
1616976494.005971,1616976494.015938,23,9.96708869934082,0,16,15730,15,5,13105,1921,
1616976494.020182,1616976494.028774,24,8.59212875366211,0,16,15731,15,5,13106,1921,
1616976494.031706,1616976494.03954,25,7.833957672119141,0,16,15725,15,5,13100,1921,
1616976494.042928,1616976494.051593,26,8.665084838867188,0,18,15883,15,7,13108,1983,
1616976494.054613,1616976494.061449,27,6.8359375,0,18,15914,17,5,13201,1921,
1616976494.064761,1616976494.072227,28,7.46607780456543,0,16,15725,15,5,13100,1921,
1616976494.075605,1616976494.083269,29,7.663965225219727,0,16,15724,15,5,13099,1921,
1616976494.086706,1616976494.093624,30,6.918191909790039,0,18,15904,17,5,13191,1921,
1616976494.096778,1616976494.105571,31,8.793115615844727,0,16,15731,15,5,13106,1921,
1616976494.109575,1616976494.116516,32,6.941080093383789,0,16,15732,15,5,13107,1921,
1616976494.120077,1616976494.12692,33,6.843090057373047,0,16,15725,15,5,13100,1921,
1616976494.130699,1616976494.138238,34,7.539033889770508,0,16,15729,15,5,13104,1921,
1616976494.14106,1616976494.149578,35,8.517980575561523,0,16,15732,15,5,13107,1921,
1616976494.153933,1616976494.160893,36,6.9599151611328125,0,16,15726,15,5,13101,1921,
1616976494.163564,1616976494.171187,37,7.622957229614258,0,16,15730,15,5,13105,1921,
1616976494.174829,1616976494.182566,38,7.736921310424805,0,16,15725,15,5,13100,1921,
