Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616976784.073973,1616976784.085126,0,11.152982711791992,0,19,19250,18,5,16493,1921,
1616976784.088136,1616976784.097616,1,9.479999542236328,0,19,19245,18,5,16488,1921,
1616976784.101917,1616976784.110871,2,8.954048156738281,0,19,19248,18,5,16491,1921,
1616976784.114564,1616976784.122718,3,8.154153823852539,0,19,19250,18,5,16493,1921,
1616976784.125629,1616976784.135714,4,10.085105895996094,0,19,19245,18,5,16488,1921,
1616976784.139413,1616976784.14885,5,9.436845779418945,0,19,19239,18,5,16482,1921,
1616976784.1518,1616976784.160201,6,8.401155471801758,0,19,19248,18,5,16491,1921,
1616976784.163939,1616976784.172296,7,8.357048034667969,0,19,19245,18,5,16488,1921,
1616976784.175098,1616976784.183863,8,8.764982223510742,0,19,19243,18,5,16486,1921,
1616976784.186779,1616976784.195018,9,8.239030838012695,0,19,19241,18,5,16484,1921,
1616976784.200154,1616976784.209636,10,9.48190689086914,0,21,19429,20,5,16584,1921,
1616976784.213059,1616976784.221264,11,8.204936981201172,0,19,19241,18,5,16484,1921,
1616976784.224054,1616976784.233046,12,8.99195671081543,0,21,19431,20,5,16586,1921,
1616976784.236925,1616976784.245054,13,8.129119873046875,0,19,19244,18,5,16487,1921,
1616976784.247814,1616976784.255613,14,7.7991485595703125,0,19,19250,18,5,16493,1921,
1616976784.258603,1616976784.266686,15,8.082866668701172,0,19,19246,18,5,16489,1921,
1616976784.270587,1616976784.278804,16,8.217096328735352,0,19,19239,18,5,16482,1921,
1616976784.282259,1616976784.29217,17,9.911060333251953,0,21,19426,20,5,16581,1921,
1616976784.295502,1616976784.304291,18,8.7890625,0,19,19248,18,5,16491,1921,
1616976784.307776,1616976784.31648,19,8.703947067260742,0,19,19245,18,5,16488,1921,
1616976784.319901,1616976784.328807,20,8.906126022338867,0,19,19240,18,5,16483,1921,
1616976784.332931,1616976784.341866,21,8.934974670410156,0,19,19249,18,5,16492,1921,
1616976784.345075,1616976784.355525,22,10.450124740600586,0,21,19426,20,5,16581,1921,
1616976784.359061,1616976784.368688,23,9.627103805541992,0,19,19246,18,5,16489,1921,
1616976784.372934,1616976784.381664,24,8.729934692382812,0,19,19244,18,5,16487,1921,
1616976784.385786,1616976784.394999,25,9.212970733642578,0,19,19242,18,5,16485,1921,
1616976784.398278,1616976784.407158,26,8.879899978637695,0,19,19239,18,5,16482,1921,
1616976784.4107,1616976784.420397,27,9.69696044921875,0,19,19244,18,5,16487,1921,
1616976784.425091,1616976784.433663,28,8.571863174438477,0,19,19240,18,5,16483,1921,
1616976784.437284,1616976784.446525,29,9.241104125976562,0,21,19423,20,5,16578,1921,
1616976784.449214,1616976784.458111,30,8.897066116333008,0,19,19241,18,5,16484,1921,
1616976784.461045,1616976784.46913,31,8.085012435913086,0,19,19238,18,5,16481,1921,
1616976784.473209,1616976784.481211,32,8.002042770385742,0,21,19427,20,5,16582,1921,
