Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1617070334.199117,1617070334.21307,0,13.952970504760742,0,14,13166,13,5,10628,1922,
1617070334.226376,1617070334.232898,1,6.521940231323242,0,14,13165,13,5,10628,1921,
1617070334.248444,1617070334.256792,2,8.34798812866211,0,14,13160,13,5,10623,1921,
1617070334.269508,1617070334.276521,3,7.013082504272461,0,14,13155,13,5,10618,1921,
1617070334.289187,1617070334.297241,4,8.054018020629883,0,14,13163,13,5,10626,1921,
1617070334.313304,1617070334.320831,5,7.52711296081543,0,14,13164,13,5,10627,1921,
1617070334.33429,1617070334.343645,6,9.35506820678711,0,14,13160,13,5,10623,1921,
1617070334.358137,1617070334.364704,7,6.5670013427734375,0,14,13164,13,5,10627,1921,
1617070334.377651,1617070334.38481,8,7.158994674682617,0,14,13160,13,5,10623,1921,
1617070334.396664,1617070334.40498,9,8.3160400390625,0,14,13160,13,5,10623,1921,
1617070334.416997,1617070334.423343,10,6.345987319946289,0,14,13165,13,5,10628,1921,
1617070334.436611,1617070334.443036,11,6.425142288208008,0,14,13153,13,5,10616,1921,
1617070334.455218,1617070334.461824,12,6.605863571166992,0,14,13162,13,5,10625,1921,
1617070334.4733,1617070334.479348,13,6.047964096069336,0,14,13154,13,5,10617,1921,
1617070334.492859,1617070334.500166,14,7.3070526123046875,0,14,13162,13,5,10625,1921,
1617070334.512455,1617070334.519596,15,7.14111328125,0,16,13337,15,5,10712,1921,
1617070334.53238,1617070334.538078,16,5.697965621948242,0,14,13154,13,5,10617,1921,
1617070334.550976,1617070334.55875,17,7.773876190185547,0,14,13157,13,5,10620,1921,
1617070334.571095,1617070334.578887,18,7.791996002197266,0,16,13345,15,5,10720,1921,
1617070334.592836,1617070334.598809,19,5.973100662231445,0,14,13162,13,5,10625,1921,
1617070334.612156,1617070334.61925,20,7.094144821166992,0,16,13341,15,5,10716,1921,
1617070334.63284,1617070334.641818,21,8.978128433227539,0,14,13160,13,5,10623,1921,
1617070334.655203,1617070334.661338,22,6.134986877441406,0,14,13162,13,5,10625,1921,
1617070334.672559,1617070334.679947,23,7.387876510620117,0,14,13161,13,5,10624,1921,
1617070334.693017,1617070334.700824,24,7.807016372680664,0,14,13160,13,5,10623,1921,
1617070334.712354,1617070334.718403,25,6.049156188964844,0,14,13161,13,5,10624,1921,
1617070334.730986,1617070334.738169,26,7.182836532592773,0,14,13164,13,5,10627,1921,
1617070334.753076,1617070334.75903,27,5.95402717590332,0,14,13160,13,5,10623,1921,
1617070334.770772,1617070334.779561,28,8.7890625,0,14,13158,13,5,10621,1921,
1617070334.792303,1617070334.800265,29,7.96198844909668,0,14,13160,13,5,10623,1921,
1617070334.812464,1617070334.819049,30,6.584882736206055,0,14,13154,13,5,10617,1921,
1617070334.832684,1617070334.839938,31,7.253885269165039,0,14,13165,13,5,10628,1921,
1617070334.852679,1617070334.86078,32,8.10098648071289,0,14,13153,13,5,10616,1921,
1617070334.872984,1617070334.879365,33,6.381034851074219,0,14,13156,13,5,10619,1921,
1617070334.892451,1617070334.900046,34,7.595062255859375,0,14,13154,13,5,10617,1921,
1617070334.912452,1617070334.92017,35,7.718086242675781,0,14,13163,13,5,10626,1921,
1617070334.931903,1617070334.938274,36,6.371021270751953,0,16,13346,15,5,10721,1921,
1617070334.952061,1617070334.95906,37,6.999015808105469,0,14,13153,13,5,10616,1921,
1617070334.972691,1617070334.980559,38,7.868051528930664,0,14,13165,13,5,10628,1921,
1617070334.995473,1617070335.002784,39,7.311105728149414,0,14,13153,13,5,10616,1921,
1617070335.014845,1617070335.02256,40,7.714986801147461,0,16,13343,15,5,10718,1921,
1617070335.035114,1617070335.042554,41,7.439851760864258,0,14,13161,13,5,10624,1921,
1617070335.05617,1617070335.064461,42,8.291006088256836,0,14,13162,13,5,10625,1921,
1617070335.077451,1617070335.084483,43,7.031917572021484,0,14,13159,13,5,10622,1921,
1617070335.096851,1617070335.104435,44,7.583856582641602,0,14,13154,13,5,10617,1921,
1617070335.118793,1617070335.125502,45,6.709098815917969,0,16,13343,15,5,10718,1921,
1617070335.138071,1617070335.145033,46,6.961822509765625,0,14,13165,13,5,10628,1921,
1617070335.158964,1617070335.166464,47,7.500171661376953,0,14,13154,13,5,10617,1921,
1617070335.179119,1617070335.185678,48,6.558895111083984,0,16,13347,15,5,10722,1921,
1617070335.198737,1617070335.204993,49,6.256103515625,0,14,13159,13,5,10622,1921,
1617070335.217743,1617070335.224035,50,6.292104721069336,0,16,13345,15,5,10720,1921,
1617070335.236491,1617070335.244276,51,7.78508186340332,0,14,13154,13,5,10617,1921,
1617070335.256847,1617070335.264254,52,7.407188415527344,0,14,13158,13,5,10621,1921,
1617070335.27909,1617070335.286103,53,7.013082504272461,0,14,13155,13,5,10618,1921,
1617070335.300048,1617070335.310309,54,10.260820388793945,0,14,13162,13,5,10625,1921,
1617070335.323714,1617070335.331003,55,7.288932800292969,0,16,13341,15,5,10716,1921,
1617070335.344249,1617070335.351109,56,6.860017776489258,0,14,13158,13,5,10621,1921,
1617070335.364993,1617070335.372653,57,7.659912109375,0,14,13155,13,5,10618,1921,
1617070335.385069,1617070335.392768,58,7.699012756347656,0,16,13339,15,5,10714,1921,
1617070335.405772,1617070335.412509,59,6.736993789672852,0,14,13163,13,5,10626,1921,
1617070335.425819,1617070335.432936,60,7.117033004760742,0,14,13158,13,5,10621,1921,
1617070335.446689,1617070335.454743,61,8.054018020629883,0,14,13156,13,5,10619,1921,
1617070335.468094,1617070335.473907,62,5.812883377075195,0,14,13155,13,5,10618,1921,
1617070335.487676,1617070335.496267,63,8.591175079345703,0,14,13158,13,5,10621,1921,
1617070335.508729,1617070335.515668,64,6.938934326171875,0,16,13342,15,5,10717,1921,
1617070335.529551,1617070335.535721,65,6.170034408569336,0,14,13156,13,5,10619,1921,
1617070335.549777,1617070335.557534,66,7.756948471069336,0,14,13160,13,5,10623,1921,
1617070335.569485,1617070335.575951,67,6.466150283813477,0,14,13165,13,5,10628,1921,
1617070335.590088,1617070335.59749,68,7.402181625366211,0,16,13347,15,5,10722,1921,
1617070335.611206,1617070335.619865,69,8.658885955810547,0,14,13161,13,5,10624,1921,
1617070335.633196,1617070335.639641,70,6.4449310302734375,0,16,13335,15,5,10710,1921,
1617070335.651963,1617070335.658537,71,6.573915481567383,0,14,13165,13,5,10628,1921,
1617070335.672367,1617070335.679273,72,6.905794143676758,0,14,13160,13,5,10623,1921,
1617070335.691239,1617070335.6984,73,7.16090202331543,0,14,13155,13,5,10618,1921,
1617070335.712404,1617070335.719294,74,6.890058517456055,0,16,13337,15,5,10712,1921,
1617070335.73084,1617070335.737541,75,6.700992584228516,0,16,13337,15,5,10712,1921,
1617070335.752076,1617070335.759536,76,7.460117340087891,0,14,13154,13,5,10617,1921,
1617070335.772368,1617070335.779548,77,7.179975509643555,0,16,13343,15,5,10718,1921,
1617070335.791551,1617070335.799219,78,7.667779922485352,0,14,13157,13,5,10620,1921,
1617070335.812425,1617070335.819379,79,6.954193115234375,0,14,13161,13,5,10624,1921,
1617070335.832957,1617070335.839279,80,6.321907043457031,0,14,13159,13,5,10622,1921,
1617070335.851153,1617070335.858407,81,7.254123687744141,0,14,13158,13,5,10621,1921,
1617070335.87237,1617070335.880633,82,8.263111114501953,0,14,13155,13,5,10618,1921,
1617070335.8956,1617070335.902856,83,7.256031036376953,0,14,13159,13,5,10622,1921,
1617070335.915698,1617070335.922024,84,6.325960159301758,0,16,13344,15,5,10719,1921,
1617070335.936403,1617070335.943688,85,7.284879684448242,0,14,13165,13,5,10628,1921,
1617070335.957062,1617070335.964353,86,7.291078567504883,0,14,13159,13,5,10622,1921,
1617070335.976677,1617070335.983436,87,6.759166717529297,0,16,13345,15,5,10720,1921,
1617070335.998456,1617070336.005891,88,7.435083389282227,0,16,13342,15,5,10717,1921,
1617070336.022048,1617070336.027692,89,5.644083023071289,0,14,13165,13,5,10628,1921,
1617070336.042088,1617070336.048047,90,5.959033966064453,0,14,13162,13,5,10625,1921,
1617070336.060659,1617070336.066745,91,6.086111068725586,0,16,13343,15,5,10718,1921,
1617070336.07933,1617070336.087061,92,7.730960845947266,0,14,13159,13,5,10622,1921,
1617070336.100785,1617070336.106111,93,5.326032638549805,0,14,13156,13,5,10619,1921,
1617070336.119127,1617070336.126972,94,7.8449249267578125,0,14,13154,13,5,10617,1921,
1617070336.141081,1617070336.147852,95,6.770849227905273,0,14,13153,13,5,10616,1921,
1617070336.160054,1617070336.166789,96,6.735086441040039,0,14,13162,13,5,10625,1921,
1617070336.179951,1617070336.187475,97,7.524013519287109,0,14,13156,13,5,10619,1921,
1617070336.200201,1617070336.207735,98,7.534027099609375,0,14,13155,13,5,10618,1921,
