Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1616977203.078882,1616977203.088363,0,9.480953216552734,0,11,8925,10,5,6520,1921,
1616977203.092719,1616977203.098879,1,6.16002082824707,0,11,8931,10,5,6526,1921,
1616977203.102327,1616977203.108622,2,6.294965744018555,0,11,8934,10,5,6529,1921,
1616977203.112314,1616977203.11905,3,6.736040115356445,0,11,8932,10,5,6527,1921,
1616977203.122744,1616977203.128738,4,5.993843078613281,0,11,8929,10,5,6524,1921,
1616977203.132094,1616977203.140147,5,8.053064346313477,0,11,8934,10,5,6529,1921,
1616977203.143046,1616977203.149077,6,6.031036376953125,0,11,8924,10,5,6519,1921,
1616977203.152014,1616977203.158827,7,6.81304931640625,0,11,8932,10,5,6527,1921,
1616977203.162442,1616977203.168927,8,6.4849853515625,0,11,8926,10,5,6521,1921,
1616977203.172703,1616977203.178526,9,5.822896957397461,0,11,8931,10,5,6526,1921,
1616977203.182224,1616977203.187108,10,4.884004592895508,0,11,8922,10,5,6517,1921,
1616977203.190296,1616977203.196587,11,6.29115104675293,0,13,9163,12,5,6670,1921,
1616977203.199829,1616977203.206121,12,6.291866302490234,0,11,8935,10,5,6530,1921,
1616977203.209098,1616977203.215638,13,6.539821624755859,0,11,8928,10,5,6523,1921,
1616977203.219477,1616977203.22589,14,6.412982940673828,0,11,8925,10,5,6520,1921,
1616977203.229597,1616977203.238905,15,9.307861328125,0,11,8928,10,5,6523,1921,
1616977203.242714,1616977203.249449,16,6.735086441040039,0,11,8921,10,5,6516,1921,
1616977203.253626,1616977203.259709,17,6.082773208618164,0,11,8927,10,5,6522,1921,
1616977203.262577,1616977203.268426,18,5.848884582519531,0,11,8930,10,5,6525,1921,
1616977203.272155,1616977203.277845,19,5.689859390258789,0,11,8932,10,5,6527,1921,
1616977203.280625,1616977203.286224,20,5.598783493041992,0,11,8929,10,5,6524,1921,
1616977203.289825,1616977203.295469,21,5.644083023071289,0,11,8935,10,5,6530,1921,
1616977203.299987,1616977203.306225,22,6.237983703613281,0,11,8926,10,5,6521,1921,
1616977203.309874,1616977203.315456,23,5.581855773925781,0,11,8926,10,5,6521,1921,
1616977203.319083,1616977203.325798,24,6.715059280395508,0,11,8924,10,5,6519,1921,
1616977203.329769,1616977203.33602,25,6.251096725463867,0,11,8931,10,5,6526,1921,
1616977203.339854,1616977203.346304,26,6.44993782043457,0,11,8928,10,5,6523,1921,
1616977203.349847,1616977203.35579,27,5.942821502685547,0,11,8933,10,5,6528,1921,
1616977203.359201,1616977203.366099,28,6.898164749145508,0,11,8936,10,5,6531,1921,
1616977203.369447,1616977203.374459,29,5.012035369873047,0,11,8929,10,5,6524,1921,
1616977203.377792,1616977203.383434,30,5.642175674438477,0,11,8924,10,5,6519,1921,
1616977203.387086,1616977203.394704,31,7.618188858032227,0,11,8925,10,5,6520,1921,
1616977203.397751,1616977203.403046,32,5.2947998046875,0,11,8928,10,5,6523,1921,
1616977203.406734,1616977203.412262,33,5.527973175048828,0,11,8934,10,5,6529,1921,
1616977203.416193,1616977203.422012,34,5.819082260131836,0,11,8925,10,5,6520,1921,
1616977203.42571,1616977203.432056,35,6.345987319946289,0,11,8927,10,5,6522,1921,
1616977203.435646,1616977203.44118,36,5.533933639526367,0,11,8924,10,5,6519,1921,
1616977203.444163,1616977203.449376,37,5.213022232055664,0,11,8925,10,5,6520,1921,
1616977203.452658,1616977203.459388,38,6.730079650878906,0,11,8928,10,5,6523,1921,
1616977203.462049,1616977203.467585,39,5.536079406738281,0,11,8930,10,5,6525,1921,
1616977203.471171,1616977203.477716,40,6.545066833496094,0,11,8924,10,5,6519,1921,
1616977203.481777,1616977203.488199,41,6.4220428466796875,0,11,8931,10,5,6526,1921,
1616977203.491926,1616977203.499095,42,7.169008255004883,0,11,8925,10,5,6520,1921,
1616977203.502644,1616977203.50877,43,6.125926971435547,0,11,8928,10,5,6523,1921,
1616977203.512233,1616977203.519685,44,7.4520111083984375,0,11,8920,10,5,6515,1921,
1616977203.523157,1616977203.529776,45,6.61921501159668,0,11,8926,10,5,6521,1921,
1616977203.533717,1616977203.540584,46,6.867170333862305,0,11,8926,10,5,6521,1921,
1616977203.544328,1616977203.551544,47,7.215976715087891,0,11,8935,10,5,6530,1921,
1616977203.554657,1616977203.561953,48,7.296085357666016,0,11,8925,10,5,6520,1921,
1616977203.5654,1616977203.571973,49,6.573200225830078,0,11,8929,10,5,6524,1921,
1616977203.574874,1616977203.581802,50,6.927967071533203,0,11,8927,10,5,6522,1921,
1616977203.584687,1616977203.591253,51,6.566047668457031,0,11,8930,10,5,6525,1921,
1616977203.595162,1616977203.602097,52,6.93511962890625,0,11,8932,10,5,6527,1921,
1616977203.605888,1616977203.612379,53,6.491184234619141,0,11,8933,10,5,6528,1921,
1616977203.615507,1616977203.621268,54,5.761146545410156,0,11,8922,10,5,6517,1921,
1616977203.624436,1616977203.629859,55,5.423069000244141,0,11,8931,10,5,6526,1921,
1616977203.633164,1616977203.639483,56,6.3190460205078125,0,11,8930,10,5,6525,1921,
1616977203.642384,1616977203.648814,57,6.429910659790039,0,11,8930,10,5,6525,1921,
1616977203.652535,1616977203.658782,58,6.247043609619141,0,11,8930,10,5,6525,1921,
1616977203.662103,1616977203.667127,59,5.023956298828125,0,11,8930,10,5,6525,1921,
1616977203.670429,1616977203.676024,60,5.594968795776367,0,11,8924,10,5,6519,1921,
1616977203.678744,1616977203.684931,61,6.186962127685547,0,11,8933,10,5,6528,1921,
1616977203.688874,1616977203.695513,62,6.639003753662109,0,11,8920,10,5,6515,1921,
1616977203.698735,1616977203.704752,63,6.016969680786133,0,11,8922,10,5,6517,1921,
1616977203.708293,1616977203.715196,64,6.902933120727539,0,11,8933,10,5,6528,1921,
1616977203.718963,1616977203.724608,65,5.645036697387695,0,11,8932,10,5,6527,1921,
1616977203.728499,1616977203.735247,66,6.747961044311523,0,11,8921,10,5,6516,1921,
1616977203.738634,1616977203.74473,67,6.09588623046875,0,11,8928,10,5,6523,1921,
1616977203.747768,1616977203.754438,68,6.6699981689453125,0,11,8926,10,5,6521,1921,
1616977203.758108,1616977203.763785,69,5.676984786987305,0,11,8926,10,5,6521,1921,
1616977203.767737,1616977203.773864,70,6.127119064331055,0,11,8931,10,5,6526,1921,
1616977203.777593,1616977203.783168,71,5.5751800537109375,0,11,8926,10,5,6521,1921,
1616977203.787043,1616977203.793453,72,6.409883499145508,0,11,8929,10,5,6524,1921,
1616977203.797114,1616977203.803592,73,6.478071212768555,0,11,8922,10,5,6517,1921,
1616977203.806634,1616977203.812887,74,6.25300407409668,0,11,8928,10,5,6523,1921,
1616977203.816169,1616977203.822661,75,6.491899490356445,0,11,8923,10,5,6518,1921,
1616977203.826284,1616977203.835258,76,8.974075317382812,0,11,8927,10,5,6522,1921,
1616977203.839082,1616977203.845431,77,6.349086761474609,0,11,8927,10,5,6522,1921,
1616977203.848704,1616977203.854825,78,6.120920181274414,0,11,8935,10,5,6530,1921,
1616977203.857847,1616977203.864205,79,6.357908248901367,0,11,8930,10,5,6525,1921,
1616977203.867505,1616977203.873349,80,5.843877792358398,0,11,8928,10,5,6523,1921,
1616977203.876951,1616977203.882356,81,5.404949188232422,0,11,8935,10,5,6530,1921,
1616977203.886241,1616977203.893818,82,7.576942443847656,0,11,8937,10,5,6532,1921,
1616977203.897026,1616977203.903441,83,6.414890289306641,0,11,8927,10,5,6522,1921,
1616977203.907006,1616977203.913659,84,6.653070449829102,0,11,8923,10,5,6518,1921,
1616977203.917066,1616977203.923569,85,6.502866744995117,0,11,8932,10,5,6527,1921,
