Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,13.659954071044922,0,13,12195,12,5,9701,1922,
1,3.3349990844726562,0,12,6399,8,8,3962,1909,
2,3.535032272338867,0,12,6394,8,8,3957,1909,
3,3.426074981689453,0,12,6389,8,8,3952,1909,
4,3.3478736877441406,0,12,6393,8,8,3956,1909,
5,3.6249160766601562,0,12,6397,8,8,3960,1909,
6,3.139972686767578,0,12,6394,8,8,3957,1909,
7,4.081964492797852,0,12,6390,8,8,3953,1909,
8,3.1960010528564453,10,12,6389,8,8,3952,1909,
9,3.345012664794922,10,12,6389,8,8,3952,1909,
10,3.9758682250976562,10,12,6383,8,8,3952,1903,
11,4.328012466430664,10,13,6479,8,9,3962,1945,
12,18.43118667602539,10,15,5755,8,11,2879,2216,
13,3.367900848388672,10,12,6392,8,8,3955,1909,
14,3.5920143127441406,10,12,6387,8,8,3950,1909,
15,4.466056823730469,10,12,6393,8,8,3956,1909,
16,3.2820701599121094,10,12,6395,8,8,3958,1909,
17,3.7889480590820312,10,12,6393,8,8,3956,1909,
18,3.1130313873291016,20,12,6390,8,8,3953,1909,
19,3.8928985595703125,20,12,6391,8,8,3954,1909,
20,3.5009384155273438,20,12,6395,8,8,3958,1909,
21,3.6590099334716797,20,12,6390,8,8,3953,1909,
22,26988.97099494934,20,27,7907,8,23,3960,2759,
23,3.432035446166992,20,11,6317,8,7,3957,1876,
24,26971.956968307495,20,27,7902,8,23,3955,2759,
25,2167.536973953247,20,20,6266,7,16,2891,2495,
26,26983.65807533264,20,27,7904,8,23,3957,2759,
27,3.3490657806396484,20,12,6393,8,8,3956,1909,
28,3.9930343627929688,30,13,6479,7,9,3962,1945,
29,52.392005920410156,30,16,5836,8,12,2881,2251,
30,3.4029483795166016,30,12,6396,8,8,3959,1909,
31,46.08917236328125,30,14,6546,8,10,3950,1980,
32,26985.28218269348,30,26,7830,7,22,3960,2726,
33,4.472017288208008,30,12,6395,8,8,3958,1909,
34,309.66687202453613,30,22,7052,9,16,3256,2828,
35,25449.07283782959,30,30,13891,8,26,3954,8617,
36,26991.836071014404,30,31,7463,8,26,3033,3066,
37,21.48294448852539,30,13,5446,8,9,2884,1990,
38,26955.45196533203,40,37,8681,8,33,3955,3098,
39,51.76591873168945,40,15,5843,8,10,3047,2136,
40,25748.435020446777,40,34,13318,8,30,3962,7860,
41,44.27385330200195,40,14,6544,8,10,3950,1978,
42,25456.351041793823,40,34,14540,8,30,3951,9093,
43,12.964010238647461,40,15,6623,7,11,3955,2008,
44,4.8809051513671875,40,10,6240,7,6,3956,1844,
45,25452.599048614502,40,30,13892,8,26,3955,8617,
46,304.2490482330322,40,18,6593,9,12,3262,2539,
47,26972.45693206787,50,27,7898,8,23,3951,2759,
48,304.9631118774414,50,18,5905,8,14,2886,2227,
49,27139.1019821167,50,44,16205,11,36,4405,9864,
50,25699.87201690674,50,34,13191,8,30,2881,8814,
51,5.675792694091797,50,10,6073,7,6,3957,1676,
52,3.3059120178222656,50,11,6319,8,7,3958,1877,
53,3.576040267944336,50,13,6468,8,9,3951,1945,
54,52.58917808532715,50,14,5605,7,9,3047,1942,
55,313.6119842529297,50,15,5671,7,10,3033,1978,
56,10.430097579956055,60,12,6388,7,8,3957,1903,
57,535.4599952697754,60,18,6304,8,14,2884,2628,
58,230.35192489624023,60,16,6779,8,12,3961,2114,
59,25921.09203338623,60,37,13494,7,33,2888,8978,
60,3147.325038909912,60,25,9401,13,15,5921,2380,
61,6767.535924911499,60,38,8663,10,31,3491,3500,
62,32.160043716430664,60,15,5762,8,11,2884,2218,
63,27202.09789276123,60,28,6913,8,24,2889,2792,
64,9985.28504371643,60,43,14014,14,33,7255,4867,
65,3.8170814514160156,60,9,6000,7,5,3962,1642,
66,26992.53511428833,70,32,7389,7,28,2886,3095,
67,26994.251012802124,70,30,7096,8,26,2882,2894,
68,32572.1218585968,70,57,27275,12,50,3573,21194,
69,32459.9609375,70,56,26001,8,52,3954,19583,
70,1725.99196434021,70,17,7311,8,13,3954,2609,
71,4144.031047821045,70,32,8489,11,24,4407,2674,
72,25677.413940429688,80,33,12945,7,29,2887,8606,
73,3360.548973083496,80,23,7590,7,19,2879,3699,
74,14201.258897781372,80,31,7341,7,27,2889,3088,
75,32055.030822753906,80,16,11004,14,3,9997,303,
76,259.22393798828125,80,11,5087,7,7,2885,1718,
77,27178.285121917725,90,36,10386,7,32,2883,5919,
78,30225.69489479065,90,44,15163,10,38,4548,8679,
79,9312.532901763916,90,14,10819,14,1,10009,194,
80,302.1359443664551,90,5,4381,7,0,4161,0,
81,7912.441968917847,90,12,9137,13,1,8529,80,
