Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,8.193016052246094,0,16,15730,15,5,13105,1921,
1,8.355140686035156,0,16,15724,15,5,13099,1921,
2,9.361028671264648,0,16,15721,15,5,13096,1921,
3,7.107019424438477,0,16,15723,15,5,13098,1921,
4,7.769107818603516,0,16,15727,15,5,13102,1921,
5,7.542848587036133,0,16,15731,15,5,13106,1921,
6,7.702112197875977,0,16,15729,15,5,13104,1921,
7,8.863210678100586,0,16,15727,15,5,13102,1921,
8,8.354902267456055,0,16,15724,15,5,13099,1921,
9,6.604909896850586,0,16,15726,15,5,13101,1921,
10,7.897138595581055,0,16,15722,15,5,13097,1921,
11,6.367206573486328,0,16,15731,15,5,13106,1921,
12,6.430864334106445,0,18,15951,17,5,13238,1921,
13,8.441925048828125,0,18,15905,17,5,13192,1921,
14,6.348848342895508,0,16,15727,15,5,13102,1921,
15,6.541967391967773,0,16,15727,15,5,13102,1921,
16,7.7648162841796875,0,16,15723,15,5,13098,1921,
17,6.853818893432617,0,16,15726,15,5,13101,1921,
18,8.649110794067383,0,16,15724,15,5,13099,1921,
19,7.295131683349609,0,16,15732,15,5,13107,1921,
20,8.195877075195312,0,16,15730,15,5,13105,1921,
21,7.478952407836914,0,18,15903,17,5,13190,1921,
22,7.133007049560547,0,18,15903,17,5,13190,1921,
23,7.836103439331055,0,18,15911,17,5,13198,1921,
24,6.783962249755859,0,18,15908,17,5,13195,1921,
25,8.558034896850586,0,16,15729,15,5,13104,1921,
26,7.779121398925781,0,16,15728,15,5,13103,1921,
27,8.126020431518555,0,18,15908,17,5,13195,1921,
28,7.210969924926758,0,18,15906,17,5,13193,1921,
29,7.322072982788086,0,18,15913,17,5,13200,1921,
30,9.788990020751953,0,16,15732,15,5,13107,1921,
31,8.883953094482422,0,18,15903,17,5,13190,1921,
32,7.764101028442383,0,18,15910,17,5,13197,1921,
33,7.382869720458984,0,16,15730,15,5,13105,1921,
34,7.210016250610352,0,18,15912,17,5,13199,1921,
35,9.382009506225586,0,18,15915,17,5,13202,1921,
36,7.374048233032227,0,18,15910,17,5,13197,1921,
37,8.202075958251953,0,16,15725,15,5,13100,1921,
38,8.682966232299805,0,16,15722,15,5,13097,1921,
39,6.382942199707031,0,18,15915,17,5,13202,1921,
40,7.279157638549805,0,18,15915,17,5,13202,1921,
41,8.794069290161133,0,16,15733,15,5,13108,1921,
42,7.2460174560546875,0,18,15909,17,5,13196,1921,
43,8.812904357910156,0,16,15732,15,5,13107,1921,
44,8.077859878540039,0,16,15724,15,5,13099,1921,
45,7.446050643920898,0,18,15915,17,5,13202,1921,
46,8.857965469360352,0,16,15731,15,5,13106,1921,
47,8.333921432495117,0,18,15914,17,5,13201,1921,
48,6.157159805297852,0,18,15903,17,5,13190,1921,
49,10.040044784545898,0,16,15722,15,5,13097,1921,
50,7.969856262207031,0,18,15903,17,5,13190,1921,
51,8.111953735351562,0,18,15913,17,5,13200,1921,
52,8.105993270874023,0,16,15732,15,5,13107,1921,
53,7.838964462280273,0,18,15915,17,5,13202,1921,
54,9.386777877807617,0,16,15735,15,5,13110,1921,
55,8.086919784545898,0,16,15729,15,5,13104,1921,
56,8.816957473754883,0,16,15724,15,5,13099,1921,
57,8.633136749267578,0,16,15728,15,5,13103,1921,
58,7.676124572753906,0,18,15905,17,5,13192,1921,
59,8.042097091674805,0,16,15724,15,5,13098,1922,
60,7.6999664306640625,0,16,15730,15,5,13105,1921,
61,8.260965347290039,0,16,15727,15,5,13102,1921,
62,9.148836135864258,0,16,15732,15,5,13107,1921,
63,6.417989730834961,0,16,15723,15,5,13098,1921,
64,7.498025894165039,0,16,15721,15,5,13096,1921,
65,8.728981018066406,0,16,15727,15,5,13102,1921,
66,8.137941360473633,0,18,15904,17,5,13191,1921,
67,7.5588226318359375,0,16,15724,15,5,13099,1921,
68,6.695985794067383,0,18,15906,17,5,13193,1921,
69,8.333921432495117,0,18,15905,17,5,13192,1921,
70,8.160114288330078,0,16,15728,15,5,13103,1921,
71,8.790016174316406,0,16,15730,15,5,13105,1921,
72,7.995843887329102,0,16,15732,15,5,13107,1921,
73,7.583856582641602,0,16,15733,15,5,13108,1921,
74,6.991863250732422,0,18,15905,17,5,13192,1921,
75,7.993936538696289,0,18,15912,17,5,13199,1921,
76,8.620977401733398,0,16,15726,15,5,13101,1921,
77,6.481170654296875,0,16,15730,15,5,13105,1921,
78,6.353139877319336,0,16,15723,15,5,13098,1921,
79,8.38780403137207,0,16,15732,15,5,13107,1921,
80,6.475210189819336,0,18,15908,17,5,13195,1921,
81,6.418943405151367,0,18,15911,17,5,13198,1921,
82,9.077072143554688,0,18,15911,17,5,13197,1922,
83,8.51297378540039,0,18,15905,17,5,13192,1921,
84,8.487939834594727,0,18,15913,17,5,13200,1921,
85,7.977008819580078,0,16,15722,15,5,13097,1921,
86,7.808923721313477,0,16,15729,15,5,13104,1921,
87,7.537841796875,0,16,15729,15,5,13104,1921,
88,8.008003234863281,0,18,15903,17,5,13190,1921,
89,7.302999496459961,0,18,15914,17,5,13201,1921,
90,7.932901382446289,0,16,15729,15,5,13104,1921,
91,8.928060531616211,0,16,15727,15,5,13102,1921,
92,7.093906402587891,0,18,15912,17,5,13199,1921,
93,8.101940155029297,0,18,15909,17,5,13196,1921,
94,7.791996002197266,0,16,15723,15,5,13098,1921,
95,7.155895233154297,0,16,15729,15,5,13104,1921,
96,9.368896484375,0,18,15906,17,5,13193,1921,
97,7.980108261108398,0,16,15731,15,5,13106,1921,
98,7.208824157714844,0,16,15726,15,5,13101,1921,
99,7.262945175170898,0,16,15730,15,5,13105,1921,
100,7.095813751220703,0,16,15732,15,5,13107,1921,
101,8.126974105834961,0,18,15909,17,5,13196,1921,
102,7.4920654296875,0,16,15733,15,5,13108,1921,
103,6.957054138183594,0,18,15906,17,5,13193,1921,
104,9.141921997070312,0,16,15730,15,5,13105,1921,
105,8.211135864257812,0,16,15724,15,5,13099,1921,
106,8.102893829345703,0,18,15909,17,5,13196,1921,
107,7.729053497314453,0,16,15725,15,5,13100,1921,
108,6.808996200561523,0,18,15906,17,5,13193,1921,
109,7.482051849365234,0,18,15913,17,5,13200,1921,
110,8.149147033691406,0,18,15904,17,5,13191,1921,
111,8.157968521118164,0,16,15725,15,5,13100,1921,
112,9.130001068115234,0,16,15726,15,5,13101,1921,
113,7.477998733520508,0,16,15731,15,5,13106,1921,
114,7.419109344482422,0,18,15912,17,5,13199,1921,
115,7.084846496582031,0,16,15733,15,5,13108,1921,
116,11.692047119140625,0,16,15731,15,5,13106,1921,
117,8.378028869628906,0,18,15912,17,5,13199,1921,
118,7.343053817749023,0,16,15725,15,5,13100,1921,
119,7.852077484130859,0,16,15733,15,5,13108,1921,
120,6.630897521972656,0,16,15731,15,5,13106,1921,
121,8.339881896972656,0,16,15725,15,5,13100,1921,
122,6.237030029296875,0,18,15906,17,5,13193,1921,
123,8.64410400390625,0,16,15730,15,5,13105,1921,
124,8.54802131652832,0,16,15725,15,5,13100,1921,
125,7.607936859130859,0,16,15726,15,5,13101,1921,
126,8.884191513061523,0,16,15731,15,5,13106,1921,
127,10.008096694946289,0,18,15903,17,5,13190,1921,
128,9.830951690673828,0,18,15910,17,5,13197,1921,
129,7.362127304077148,0,18,15908,17,5,13195,1921,
130,7.236957550048828,0,18,15913,17,5,13200,1921,
131,7.297992706298828,0,16,15724,15,5,13099,1921,
132,8.975982666015625,0,16,15733,15,5,13108,1921,
133,7.874011993408203,0,16,15721,15,5,13096,1921,
134,7.025003433227539,0,18,15912,17,5,13199,1921,
135,7.34400749206543,0,18,15904,17,5,13191,1921,
136,8.547067642211914,0,16,15721,15,5,13096,1921,
137,8.20302963256836,0,16,15725,15,5,13100,1921,
138,7.715940475463867,0,16,15724,15,5,13099,1921,
139,7.776975631713867,0,16,15729,15,5,13104,1921,
140,7.063865661621094,0,16,15725,15,5,13100,1921,
141,7.19904899597168,0,16,15728,15,5,13103,1921,
142,7.972002029418945,0,16,15733,15,5,13108,1921,
143,7.00688362121582,0,16,15724,15,5,13099,1921,
144,7.229089736938477,0,16,15729,15,5,13104,1921,
145,8.406877517700195,0,16,15721,15,5,13096,1921,
146,7.194995880126953,0,18,15914,17,5,13201,1921,
147,8.273839950561523,0,16,15725,15,5,13100,1921,
148,8.422136306762695,0,16,15723,15,5,13098,1921,
149,8.665084838867188,0,16,15722,15,5,13097,1921,
150,6.986856460571289,0,18,15908,17,5,13195,1921,
151,7.583856582641602,0,18,15912,17,5,13199,1921,
152,6.453990936279297,0,18,15908,17,5,13195,1921,
153,6.382942199707031,0,18,15910,17,5,13197,1921,
154,8.921146392822266,0,18,15912,17,5,13199,1921,
155,7.601022720336914,0,16,15724,15,5,13099,1921,
156,8.661985397338867,0,16,15722,15,5,13097,1921,
157,8.465051651000977,0,16,15721,15,5,13096,1921,
158,7.380008697509766,0,18,15905,17,5,13192,1921,
159,8.652925491333008,0,18,15904,17,5,13191,1921,
160,7.894992828369141,0,16,15727,15,5,13102,1921,
161,7.117033004760742,0,18,15909,17,5,13196,1921,
162,6.714105606079102,0,16,15724,15,5,13099,1921,
163,8.51893424987793,0,16,15731,15,5,13106,1921,
164,6.885051727294922,0,16,15732,15,5,13107,1921,
165,6.708860397338867,0,16,15726,15,5,13101,1921,
166,8.591890335083008,0,16,15728,15,5,13103,1921,
167,7.9669952392578125,0,18,15914,17,5,13201,1921,
168,7.317066192626953,0,18,15912,17,5,13199,1921,
169,8.213996887207031,0,16,15723,15,5,13098,1921,
170,7.689952850341797,0,16,15723,15,5,13098,1921,
171,8.47315788269043,0,16,15727,15,5,13102,1921,
172,7.719993591308594,0,18,15904,17,5,13191,1921,
173,8.231878280639648,0,16,15730,15,5,13105,1921,
174,8.095979690551758,0,18,15913,17,5,13200,1921,
175,7.8639984130859375,0,18,15913,17,5,13200,1921,
176,7.111072540283203,0,18,15903,17,5,13190,1921,
177,6.659030914306641,0,18,15911,17,5,13198,1921,
178,7.639169692993164,0,18,15914,17,5,13201,1921,
179,8.218050003051758,0,16,15731,15,5,13106,1921,
180,7.194042205810547,0,16,15721,15,5,13096,1921,
181,8.056879043579102,0,18,15912,17,5,13199,1921,
182,7.618904113769531,0,18,15904,17,5,13191,1921,
183,6.74891471862793,0,18,15911,17,5,13198,1921,
184,10.28895378112793,0,16,15721,15,5,13096,1921,
185,7.740020751953125,0,18,15914,17,5,13201,1921,
186,6.591081619262695,0,18,15906,17,5,13193,1921,
187,7.521867752075195,0,18,15907,17,5,13194,1921,
188,8.32819938659668,0,18,15908,17,5,13195,1921,
189,7.091999053955078,0,18,15903,17,5,13190,1921,
190,8.414030075073242,0,16,15726,15,5,13101,1921,
191,6.65283203125,0,16,15732,15,5,13107,1921,
192,7.486104965209961,0,18,15909,17,5,13196,1921,
193,7.502079010009766,0,16,15731,15,5,13106,1921,
194,7.882833480834961,0,18,15909,17,5,13196,1921,
195,7.187128067016602,0,18,15904,17,5,13191,1921,
196,7.441043853759766,0,18,15910,17,5,13197,1921,
197,6.978034973144531,0,18,15903,17,5,13190,1921,
198,8.661985397338867,0,16,15733,15,5,13108,1921,
199,7.983922958374023,0,18,15906,17,5,13193,1921,
200,8.10098648071289,0,16,15733,15,5,13108,1921,
201,8.234024047851562,0,16,15730,15,5,13105,1921,
202,7.176876068115234,0,18,15904,17,5,13191,1921,
203,8.1329345703125,0,18,15907,17,5,13194,1921,
204,7.161140441894531,0,16,15722,15,5,13097,1921,
205,7.366180419921875,0,18,15910,17,5,13197,1921,
206,9.185791015625,0,18,15910,17,5,13197,1921,
207,8.707046508789062,0,16,15721,15,5,13096,1921,
208,7.937908172607422,0,18,15913,17,5,13200,1921,
209,7.086038589477539,0,18,15910,17,5,13197,1921,
210,7.382869720458984,0,18,15904,17,5,13191,1921,
211,7.584095001220703,0,18,15913,17,5,13200,1921,
212,7.452964782714844,0,18,15912,17,5,13199,1921,
213,6.9580078125,0,16,15729,15,5,13104,1921,
214,7.73310661315918,0,16,15728,15,5,13103,1921,
215,8.192062377929688,0,16,15733,15,5,13108,1921,
216,7.019996643066406,0,18,15911,17,5,13198,1921,
217,7.536888122558594,0,18,15903,17,5,13190,1921,
218,7.403135299682617,0,18,15961,17,5,13248,1921,
219,6.709814071655273,0,18,15915,17,5,13202,1921,
220,7.699012756347656,0,18,15907,17,5,13194,1921,
221,7.66301155090332,0,16,15733,15,5,13108,1921,
222,7.118940353393555,0,18,15904,17,5,13191,1921,
223,7.768869400024414,0,16,15721,15,5,13096,1921,
224,8.169174194335938,0,16,15730,15,5,13105,1921,
225,6.373882293701172,0,18,15906,17,5,13193,1921,
226,9.112119674682617,0,18,15915,17,5,13202,1921,
227,7.302999496459961,0,16,15724,15,5,13099,1921,
228,7.210969924926758,0,18,15908,17,5,13195,1921,
229,8.349895477294922,0,16,15731,15,5,13106,1921,
230,7.748126983642578,0,16,15723,15,5,13098,1921,
231,7.62486457824707,0,16,15721,15,5,13096,1921,
232,7.551908493041992,0,18,15904,17,5,13191,1921,
233,8.099794387817383,0,16,15726,15,5,13101,1921,
234,6.479978561401367,0,18,15905,17,5,13192,1921,
235,8.84699821472168,0,16,15727,15,5,13102,1921,
236,8.002996444702148,0,16,15732,15,5,13107,1921,
237,7.51495361328125,0,18,15910,17,5,13197,1921,
238,7.648944854736328,0,16,15733,15,5,13108,1921,
239,8.052825927734375,0,18,15910,17,5,13197,1921,
240,6.989955902099609,0,18,15913,17,5,13200,1921,
241,8.523941040039062,0,18,15910,17,5,13197,1921,
242,6.333827972412109,0,16,15728,15,5,13103,1921,
243,7.969856262207031,0,18,15906,17,5,13193,1921,
244,7.730007171630859,0,18,15881,15,7,13106,1983,
245,9.073972702026367,0,18,15908,17,5,13195,1921,
246,8.693933486938477,0,16,15723,15,5,13098,1921,
247,7.645845413208008,0,18,15912,17,5,13199,1921,
248,7.777929306030273,0,16,15725,15,5,13100,1921,
249,7.74693489074707,0,16,15722,15,5,13097,1921,
250,8.244991302490234,0,16,15721,15,5,13096,1921,
251,8.99195671081543,0,16,15730,15,5,13105,1921,
252,8.01706314086914,0,16,15733,15,5,13108,1921,
253,7.936954498291016,0,18,15908,17,5,13195,1921,
254,6.573915481567383,0,18,15915,17,5,13202,1921,
255,7.021903991699219,0,18,15909,17,5,13196,1921,
256,7.091999053955078,0,18,15913,17,5,13200,1921,
257,7.650136947631836,0,18,15903,17,5,13190,1921,
258,7.976055145263672,0,16,15733,15,5,13108,1921,
259,7.917881011962891,0,16,15721,15,5,13096,1921,
260,7.232189178466797,0,18,15915,17,5,13202,1921,
261,6.68787956237793,0,16,15721,15,5,13096,1921,
262,7.519006729125977,0,16,15721,15,5,13096,1921,
263,6.695032119750977,0,16,15727,15,5,13102,1921,
264,6.345033645629883,0,16,15732,15,5,13107,1921,
265,7.128000259399414,0,18,15912,17,5,13199,1921,
266,6.886005401611328,0,18,15906,17,5,13193,1921,
267,8.432149887084961,0,16,15731,15,5,13106,1921,
268,7.64918327331543,0,16,15724,15,5,13099,1921,
269,8.25190544128418,0,16,15729,15,5,13104,1921,
270,7.509946823120117,0,16,15729,15,5,13104,1921,
271,7.046937942504883,0,18,15909,17,5,13196,1921,
272,7.914066314697266,0,16,15729,15,5,13104,1921,
273,7.530927658081055,0,16,15729,15,5,13104,1921,
274,7.822990417480469,0,16,15727,15,5,13102,1921,
275,6.522893905639648,0,16,15726,15,5,13101,1921,
276,8.40616226196289,0,18,15906,17,5,13193,1921,
277,7.545948028564453,0,16,15724,15,5,13099,1921,
278,7.303953170776367,0,16,15726,15,5,13101,1921,
279,7.397890090942383,0,16,15722,15,5,13097,1921,
280,6.69407844543457,0,16,15730,15,5,13105,1921,
281,7.069110870361328,0,16,15726,15,5,13101,1921,
282,8.275985717773438,0,16,15722,15,5,13097,1921,
283,7.590770721435547,0,16,15722,15,5,13097,1921,
284,8.519887924194336,0,18,15904,17,5,13191,1921,
285,8.081912994384766,0,18,15910,17,5,13197,1921,
286,7.868051528930664,0,18,15908,17,5,13195,1921,
287,8.33892822265625,0,16,15722,15,5,13097,1921,
288,7.704973220825195,0,18,15911,17,5,13198,1921,
289,8.05521011352539,0,16,15731,15,5,13106,1921,
290,8.395910263061523,0,16,15728,15,5,13103,1921,
291,7.690906524658203,0,16,15733,15,5,13108,1921,
292,8.98289680480957,0,16,15722,15,5,13097,1921,
293,6.569862365722656,0,18,15906,17,5,13193,1921,
294,7.985115051269531,0,18,15910,17,5,13197,1921,
295,6.227970123291016,0,18,15909,17,5,13196,1921,
296,7.519006729125977,0,16,15722,15,5,13097,1921,
297,7.236003875732422,0,18,15903,17,5,13190,1921,
298,7.380962371826172,0,18,15905,17,5,13192,1921,
299,9.924888610839844,0,16,15723,15,5,13098,1921,
300,6.662845611572266,0,18,15909,17,5,13196,1921,
301,7.245063781738281,0,18,15912,17,5,13199,1921,
302,8.265972137451172,0,16,15733,15,5,13108,1921,
