Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,10.128021240234375,0,21,19471,20,5,16626,1921,
1,9.001016616821289,0,19,19246,18,5,16489,1921,
2,9.43899154663086,0,19,19239,18,5,16482,1921,
3,9.296894073486328,0,19,19248,18,5,16491,1921,
4,9.570121765136719,0,19,19245,18,5,16488,1921,
5,8.008956909179688,0,19,19241,18,5,16484,1921,
6,9.248971939086914,0,19,19247,18,5,16490,1921,
7,8.756160736083984,0,19,19250,18,5,16493,1921,
8,9.359121322631836,0,19,19240,18,5,16483,1921,
9,9.988069534301758,0,19,19243,18,5,16486,1921,
10,8.131027221679688,0,19,19241,18,5,16484,1921,
11,8.272171020507812,0,19,19246,18,5,16489,1921,
12,8.71419906616211,0,19,19249,18,5,16492,1921,
13,7.03883171081543,0,19,19240,18,5,16483,1921,
14,7.910966873168945,0,19,19248,18,5,16491,1921,
15,7.96198844909668,0,19,19238,18,5,16481,1921,
16,7.872104644775391,0,19,19240,18,5,16483,1921,
17,9.047985076904297,0,19,19240,18,5,16483,1921,
18,8.01992416381836,0,19,19245,18,5,16488,1921,
19,7.353067398071289,0,19,19240,18,5,16483,1921,
20,7.308006286621094,0,19,19249,18,5,16492,1921,
21,7.253885269165039,0,19,19247,18,5,16490,1921,
22,8.543014526367188,0,19,19247,18,5,16490,1921,
23,9.155035018920898,0,21,19432,20,5,16587,1921,
24,8.650064468383789,0,19,19241,18,5,16484,1921,
25,9.240865707397461,0,19,19250,18,5,16493,1921,
26,7.647991180419922,0,19,19246,18,5,16489,1921,
27,9.605169296264648,0,21,19428,20,5,16583,1921,
28,8.677959442138672,0,21,19426,20,5,16581,1921,
29,7.066965103149414,0,19,19244,18,5,16487,1921,
30,9.217023849487305,0,19,19249,18,5,16492,1921,
31,8.476972579956055,0,21,19422,20,5,16577,1921,
32,8.031129837036133,0,19,19238,18,5,16481,1921,
33,10.239124298095703,0,19,19246,18,5,16489,1921,
34,8.558034896850586,0,19,19242,18,5,16485,1921,
35,8.754968643188477,0,19,19241,18,5,16484,1921,
36,9.224891662597656,0,19,19239,18,5,16482,1921,
37,8.709907531738281,0,19,19247,18,5,16490,1921,
38,8.454084396362305,0,19,19247,18,5,16490,1921,
39,7.278919219970703,0,19,19242,18,5,16485,1921,
40,8.764028549194336,0,19,19245,18,5,16488,1921,
41,8.397102355957031,0,21,19420,20,5,16575,1921,
42,7.938146591186523,0,19,19245,18,5,16488,1921,
43,7.953166961669922,0,19,19242,18,5,16485,1921,
44,7.835149765014648,0,21,19421,20,5,16576,1921,
45,8.522987365722656,0,19,19239,18,5,16482,1921,
46,9.492874145507812,0,19,19250,18,5,16493,1921,
47,8.517026901245117,0,19,19247,18,5,16490,1921,
48,9.14311408996582,0,19,19243,18,5,16486,1921,
49,8.007049560546875,0,19,19239,18,5,16482,1921,
50,6.715059280395508,0,19,19243,18,5,16486,1921,
51,8.621931076049805,0,19,19239,18,5,16482,1921,
52,7.377147674560547,0,19,19240,18,5,16483,1921,
53,8.599042892456055,0,19,19245,18,5,16488,1921,
54,8.28409194946289,0,19,19250,18,5,16493,1921,
55,9.279966354370117,0,21,19431,20,5,16586,1921,
56,8.538961410522461,0,19,19244,18,5,16487,1921,
57,8.661031723022461,0,19,19238,18,5,16481,1921,
58,8.309125900268555,0,19,19241,18,5,16484,1921,
59,6.188869476318359,0,19,19247,18,5,16490,1921,
60,9.665966033935547,0,19,19243,18,5,16486,1921,
61,8.734941482543945,0,19,19248,18,5,16491,1921,
62,9.322881698608398,0,19,19249,18,5,16492,1921,
63,10.915994644165039,0,19,19250,18,5,16493,1921,
64,9.671926498413086,0,19,19240,18,5,16483,1921,
65,9.579896926879883,0,19,19241,18,5,16484,1921,
66,7.10606575012207,0,19,19247,18,5,16490,1921,
67,8.626937866210938,0,19,19247,18,5,16490,1921,
68,6.891965866088867,0,19,19246,18,5,16489,1921,
69,7.769107818603516,0,19,19249,18,5,16492,1921,
70,6.906032562255859,0,19,19242,18,5,16485,1921,
71,7.651805877685547,0,19,19241,18,5,16484,1921,
72,8.77690315246582,0,19,19249,18,5,16492,1921,
73,9.528160095214844,0,19,19248,18,5,16491,1921,
74,8.961915969848633,0,19,19244,18,5,16487,1921,
75,8.424997329711914,0,19,19245,18,5,16488,1921,
76,8.43191146850586,0,19,19250,18,5,16493,1921,
77,8.07499885559082,0,19,19248,18,5,16491,1921,
78,11.739015579223633,0,21,19429,20,5,16584,1921,
79,8.612871170043945,0,19,19250,18,5,16493,1921,
80,7.953882217407227,0,19,19249,18,5,16492,1921,
81,8.32819938659668,0,21,19428,20,5,16583,1921,
82,7.565975189208984,0,19,19240,18,5,16483,1921,
83,10.53619384765625,0,19,19239,18,5,16482,1921,
84,7.423162460327148,0,19,19240,18,5,16483,1921,
85,8.717060089111328,0,19,19240,18,5,16483,1921,
86,8.152008056640625,0,19,19243,18,5,16486,1921,
87,7.995128631591797,0,19,19250,18,5,16493,1921,
88,8.057117462158203,0,19,19241,18,5,16484,1921,
89,7.913827896118164,0,19,19245,18,5,16488,1921,
90,7.2422027587890625,0,19,19240,18,5,16483,1921,
91,7.993936538696289,0,19,19241,18,5,16484,1921,
92,7.47990608215332,0,19,19239,18,5,16482,1921,
93,8.523941040039062,0,19,19243,18,5,16486,1921,
94,6.911993026733398,0,19,19248,18,5,16491,1921,
95,8.437156677246094,0,19,19241,18,5,16484,1921,
96,8.33892822265625,0,19,19250,18,5,16493,1921,
97,10.059118270874023,0,21,19395,18,7,16488,1983,
98,7.012128829956055,0,19,19243,18,5,16486,1921,
99,8.381128311157227,0,19,19241,18,5,16484,1921,
100,7.692098617553711,0,19,19248,18,5,16491,1921,
101,9.038925170898438,0,19,19248,18,5,16491,1921,
102,8.383035659790039,0,19,19243,18,5,16486,1921,
