Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,9.480953216552734,0,11,8925,10,5,6520,1921,
1,6.16002082824707,0,11,8931,10,5,6526,1921,
2,6.294965744018555,0,11,8934,10,5,6529,1921,
3,6.736040115356445,0,11,8932,10,5,6527,1921,
4,5.993843078613281,0,11,8929,10,5,6524,1921,
5,8.053064346313477,0,11,8934,10,5,6529,1921,
6,6.031036376953125,0,11,8924,10,5,6519,1921,
7,6.81304931640625,0,11,8932,10,5,6527,1921,
8,6.4849853515625,0,11,8926,10,5,6521,1921,
9,5.822896957397461,0,11,8931,10,5,6526,1921,
10,4.884004592895508,0,11,8922,10,5,6517,1921,
11,6.29115104675293,0,13,9163,12,5,6670,1921,
12,6.291866302490234,0,11,8935,10,5,6530,1921,
13,6.539821624755859,0,11,8928,10,5,6523,1921,
14,6.412982940673828,0,11,8925,10,5,6520,1921,
15,9.307861328125,0,11,8928,10,5,6523,1921,
16,6.735086441040039,0,11,8921,10,5,6516,1921,
17,6.082773208618164,0,11,8927,10,5,6522,1921,
18,5.848884582519531,0,11,8930,10,5,6525,1921,
19,5.689859390258789,0,11,8932,10,5,6527,1921,
20,5.598783493041992,0,11,8929,10,5,6524,1921,
21,5.644083023071289,0,11,8935,10,5,6530,1921,
22,6.237983703613281,0,11,8926,10,5,6521,1921,
23,5.581855773925781,0,11,8926,10,5,6521,1921,
24,6.715059280395508,0,11,8924,10,5,6519,1921,
25,6.251096725463867,0,11,8931,10,5,6526,1921,
26,6.44993782043457,0,11,8928,10,5,6523,1921,
27,5.942821502685547,0,11,8933,10,5,6528,1921,
28,6.898164749145508,0,11,8936,10,5,6531,1921,
29,5.012035369873047,0,11,8929,10,5,6524,1921,
30,5.642175674438477,0,11,8924,10,5,6519,1921,
31,7.618188858032227,0,11,8925,10,5,6520,1921,
32,5.2947998046875,0,11,8928,10,5,6523,1921,
33,5.527973175048828,0,11,8934,10,5,6529,1921,
34,5.819082260131836,0,11,8925,10,5,6520,1921,
35,6.345987319946289,0,11,8927,10,5,6522,1921,
36,5.533933639526367,0,11,8924,10,5,6519,1921,
37,5.213022232055664,0,11,8925,10,5,6520,1921,
38,6.730079650878906,0,11,8928,10,5,6523,1921,
39,5.536079406738281,0,11,8930,10,5,6525,1921,
40,6.545066833496094,0,11,8924,10,5,6519,1921,
41,6.4220428466796875,0,11,8931,10,5,6526,1921,
42,7.169008255004883,0,11,8925,10,5,6520,1921,
43,6.125926971435547,0,11,8928,10,5,6523,1921,
44,7.4520111083984375,0,11,8920,10,5,6515,1921,
45,6.61921501159668,0,11,8926,10,5,6521,1921,
46,6.867170333862305,0,11,8926,10,5,6521,1921,
47,7.215976715087891,0,11,8935,10,5,6530,1921,
48,7.296085357666016,0,11,8925,10,5,6520,1921,
49,6.573200225830078,0,11,8929,10,5,6524,1921,
50,6.927967071533203,0,11,8927,10,5,6522,1921,
51,6.566047668457031,0,11,8930,10,5,6525,1921,
52,6.93511962890625,0,11,8932,10,5,6527,1921,
53,6.491184234619141,0,11,8933,10,5,6528,1921,
54,5.761146545410156,0,11,8922,10,5,6517,1921,
55,5.423069000244141,0,11,8931,10,5,6526,1921,
56,6.3190460205078125,0,11,8930,10,5,6525,1921,
57,6.429910659790039,0,11,8930,10,5,6525,1921,
58,6.247043609619141,0,11,8930,10,5,6525,1921,
59,5.023956298828125,0,11,8930,10,5,6525,1921,
60,5.594968795776367,0,11,8924,10,5,6519,1921,
61,6.186962127685547,0,11,8933,10,5,6528,1921,
62,6.639003753662109,0,11,8920,10,5,6515,1921,
63,6.016969680786133,0,11,8922,10,5,6517,1921,
64,6.902933120727539,0,11,8933,10,5,6528,1921,
65,5.645036697387695,0,11,8932,10,5,6527,1921,
66,6.747961044311523,0,11,8921,10,5,6516,1921,
67,6.09588623046875,0,11,8928,10,5,6523,1921,
68,6.6699981689453125,0,11,8926,10,5,6521,1921,
69,5.676984786987305,0,11,8926,10,5,6521,1921,
70,6.127119064331055,0,11,8931,10,5,6526,1921,
71,5.5751800537109375,0,11,8926,10,5,6521,1921,
72,6.409883499145508,0,11,8929,10,5,6524,1921,
73,6.478071212768555,0,11,8922,10,5,6517,1921,
74,6.25300407409668,0,11,8928,10,5,6523,1921,
