Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,13.847827911376953,0,9,7426,8,5,5109,1921,
1,7.322788238525391,0,9,7436,8,5,5119,1921,
2,8.468866348266602,0,9,7428,8,5,5111,1921,
3,9.198904037475586,0,9,7424,8,5,5107,1921,
4,10.31804084777832,0,9,7434,8,5,5117,1921,
5,8.939027786254883,0,9,7429,8,5,5112,1921,
6,9.011983871459961,0,9,7426,8,5,5109,1921,
7,8.617877960205078,0,9,7424,8,5,5107,1921,
8,8.898019790649414,0,9,7431,8,5,5114,1921,
9,7.993936538696289,0,9,7424,8,5,5107,1921,
10,8.777856826782227,0,9,7424,8,5,5107,1921,
11,8.857965469360352,0,9,7434,8,5,5117,1921,
12,8.97979736328125,0,9,7430,8,5,5113,1921,
13,9.307146072387695,0,9,7433,8,5,5116,1921,
14,10.009050369262695,0,9,7432,8,5,5115,1921,
15,9.305953979492188,0,9,7424,8,5,5107,1921,
16,10.169029235839844,0,9,7431,8,5,5114,1921,
17,8.168935775756836,0,9,7428,8,5,5111,1921,
18,8.230924606323242,0,9,7432,8,5,5115,1921,
19,9.135961532592773,0,9,7426,8,5,5109,1921,
20,8.16798210144043,0,9,7434,8,5,5117,1921,
21,7.092952728271484,0,9,7430,8,5,5113,1921,
22,8.649826049804688,0,9,7435,8,5,5118,1921,
23,6.50787353515625,0,9,7436,8,5,5119,1921,
24,8.382081985473633,0,9,7428,8,5,5111,1921,
25,8.575916290283203,0,9,7430,8,5,5113,1921,
26,7.178068161010742,0,9,7436,8,5,5119,1921,
27,9.875059127807617,0,9,7434,8,5,5117,1921,
28,7.936954498291016,0,9,7435,8,5,5118,1921,
29,9.703874588012695,0,9,7434,8,5,5117,1921,
30,9.047985076904297,0,9,7424,8,5,5107,1921,
31,8.4991455078125,0,9,7436,8,5,5119,1921,
32,12.079954147338867,0,9,7432,8,5,5115,1921,
33,8.630037307739258,0,9,7433,8,5,5116,1921,
34,9.514808654785156,0,9,7433,8,5,5116,1921,
35,8.660078048706055,0,9,7427,8,5,5110,1921,
36,9.382009506225586,0,9,7433,8,5,5116,1921,
37,9.75489616394043,0,9,7430,8,5,5113,1921,
38,9.644031524658203,0,9,7427,8,5,5110,1921,
39,6.847143173217773,0,9,7430,8,5,5113,1921,
40,10.267019271850586,0,9,7435,8,5,5118,1921,
41,8.913040161132812,0,9,7425,8,5,5108,1921,
42,6.933927536010742,0,9,7432,8,5,5115,1921,
43,8.9569091796875,0,9,7436,8,5,5119,1921,
44,8.984804153442383,0,9,7433,8,5,5116,1921,
45,9.35506820678711,0,9,7432,8,5,5115,1921,
46,7.989168167114258,0,9,7424,8,5,5107,1921,
47,7.884979248046875,0,9,7435,8,5,5118,1921,
48,10.759115219116211,0,9,7434,8,5,5117,1921,
49,8.623123168945312,0,9,7430,8,5,5113,1921,
50,7.702112197875977,0,9,7429,8,5,5112,1921,
51,7.721900939941406,0,9,7430,8,5,5113,1921,
52,8.172035217285156,0,9,7424,8,5,5107,1921,
53,7.426977157592773,0,9,7434,8,5,5117,1921,
54,6.426095962524414,0,9,7435,8,5,5118,1921,
55,7.681131362915039,0,9,7427,8,5,5110,1921,
56,6.968021392822266,0,9,7433,8,5,5116,1921,
57,6.474018096923828,0,9,7430,8,5,5113,1921,
58,6.608009338378906,0,9,7431,8,5,5114,1921,
59,8.439064025878906,0,9,7430,8,5,5113,1921,
60,6.683826446533203,0,9,7425,8,5,5108,1921,
61,9.12022590637207,0,9,7425,8,5,5108,1921,
62,10.670900344848633,0,9,7431,8,5,5114,1921,
63,9.377002716064453,0,9,7432,8,5,5115,1921,
64,12.167930603027344,0,9,7431,8,5,5114,1921,
65,7.529020309448242,0,9,7436,8,5,5119,1921,
66,9.077072143554688,0,9,7425,8,5,5108,1921,
67,7.423162460327148,0,9,7430,8,5,5113,1921,
68,9.075164794921875,0,9,7434,8,5,5117,1921,
69,8.881092071533203,0,9,7428,8,5,5111,1921,
70,7.22503662109375,0,9,7435,8,5,5118,1921,
71,9.649038314819336,0,9,7428,8,5,5111,1921,
72,7.522106170654297,0,9,7427,8,5,5110,1921,
73,9.47880744934082,0,9,7435,8,5,5118,1921,
74,7.205963134765625,0,9,7425,8,5,5108,1921,
75,8.237123489379883,0,9,7435,8,5,5118,1921,
76,9.322166442871094,0,9,7431,8,5,5114,1921,
77,6.36601448059082,0,9,7433,8,5,5116,1921,
78,10.032176971435547,0,9,7433,8,5,5116,1921,
79,7.601022720336914,0,9,7428,8,5,5111,1921,
80,6.627082824707031,0,9,7425,8,5,5108,1921,
81,10.754108428955078,0,9,7435,8,5,5118,1921,
82,9.340047836303711,0,9,7424,8,5,5107,1921,
83,7.725000381469727,0,9,7427,8,5,5110,1921,
84,9.241819381713867,0,9,7428,8,5,5111,1921,
85,8.537054061889648,0,9,7430,8,5,5113,1921,
86,8.58306884765625,0,9,7433,8,5,5116,1921,
87,8.938074111938477,0,9,7435,8,5,5118,1921,
88,9.9639892578125,0,9,7433,8,5,5116,1921,
89,10.222911834716797,0,9,7434,8,5,5117,1921,
90,8.741140365600586,0,9,7427,8,5,5110,1921,
91,10.28299331665039,0,9,7427,8,5,5110,1921,
92,9.602069854736328,0,9,7430,8,5,5113,1921,
93,9.041070938110352,0,9,7430,8,5,5113,1921,
94,8.543014526367188,0,9,7430,8,5,5113,1921,
95,8.185863494873047,0,9,7425,8,5,5108,1921,
96,12.86005973815918,0,9,7432,8,5,5115,1921,
97,9.60993766784668,0,9,7425,8,5,5108,1921,
98,9.109973907470703,0,9,7431,8,5,5114,1921,
99,7.416963577270508,0,9,7434,8,5,5117,1921,
100,10.027170181274414,0,9,7425,8,5,5108,1921,
101,7.910013198852539,0,9,7426,8,5,5109,1921,
102,7.33494758605957,0,9,7435,8,5,5118,1921,
103,8.865118026733398,0,9,7427,8,5,5110,1921,
