Timestamp,Timestamp (ms),Packet Num,Num Connections,Num Successful Connections,Total Bytes,QUIC Bytes,Layers,Long Packet Type,Frame,Frame Type,Long/Short
15:03.4,1614302103,3,1,0,1244,1200,SLL IP UDP QUIC,Initial,TLS Client Hello,NEW_TOKEN,long
15:03.4,1614302103,4,1,0,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.4,1614302103,5,1,0,1296,1252,SLL IP UDP QUIC,Handshake,,,long
15:03.4,1614302103,6,1,0,1244,1153 47,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.4,1614302103,7,1,0,1296,1252,SLL IP UDP QUIC,Handshake,,,long
15:03.4,1614302103,8,1,0,1296,1252,SLL IP UDP QUIC,Handshake,,,long
15:03.4,1614302103,9,1,0,1296,1252,SLL IP UDP QUIC,Handshake,,,long
15:03.4,1614302103,10,1,0,949,858 47,SLL IP UDP QUIC QUIC,Handshake Handshake,,,long long
15:03.4,1614302103,11,1,0,381,89 248,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.4,1614302103,12,1,0,583,539,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,13,1,0,1154,47 1063,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.4,1614302103,14,1,0,85,41,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,15,1,0,74,30,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,18,2,1,1244,1094 106,SLL IP UDP QUIC QUIC,Initial Retry,TLS Client Hello,NEW_TOKEN,long long
15:03.4,1614302103,19,2,1,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.4,1614302103,20,2,1,305,212 49,SLL IP UDP QUIC QUIC,Handshake Initial,ACK,ACK,long long
15:03.4,1614302103,21,2,1,1244,1114 86,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.4,1614302103,22,2,1,487,443,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,23,2,1,162,47 71,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.4,1614302103,24,2,1,245,201,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,25,2,1,124,80,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,26,2,1,77,33,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,27,2,1,1063,1019,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,28,2,1,76,32,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,29,2,1,74,30,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,32,3,2,1244,1095 105,SLL IP UDP QUIC QUIC,Initial Retry,TLS Client Hello,NEW_TOKEN,long long
15:03.4,1614302103,33,3,2,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.4,1614302103,34,3,2,304,211 49,SLL IP UDP QUIC QUIC,Handshake Initial,ACK,ACK,long long
15:03.4,1614302103,35,3,2,1244,1114 86,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.4,1614302103,36,3,2,487,443,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,37,3,2,162,47 71,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.4,1614302103,38,3,2,245,201,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,39,3,2,124,80,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,40,3,2,77,33,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,41,3,2,1063,1019,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,42,3,2,76,32,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,43,3,2,74,30,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,46,4,3,1244,1093 107,SLL IP UDP QUIC QUIC,Initial Retry,TLS Client Hello,NEW_TOKEN,long long
15:03.4,1614302103,47,4,3,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.4,1614302103,48,4,3,306,213 49,SLL IP UDP QUIC QUIC,Handshake Initial,ACK,ACK,long long
15:03.4,1614302103,49,4,3,1244,1114 86,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.4,1614302103,50,4,3,487,443,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,51,4,3,162,47 71,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.4,1614302103,52,4,3,245,201,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,53,4,3,124,80,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,54,4,3,77,33,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,55,4,3,1063,1019,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,56,4,3,76,32,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,57,4,3,74,30,SLL IP UDP QUIC,,,,short
15:03.4,1614302103,60,5,4,1244,1100 100,SLL IP UDP QUIC QUIC,Initial Retry,TLS Client Hello,NEW_TOKEN,long long
15:03.5,1614302103,61,5,4,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.5,1614302103,62,5,4,299,206 49,SLL IP UDP QUIC QUIC,Handshake Initial,ACK,ACK,long long
15:03.5,1614302103,63,5,4,1244,1114 86,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.5,1614302103,64,5,4,487,443,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,65,5,4,162,47 71,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.5,1614302103,66,5,4,245,201,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,67,5,4,124,80,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,68,5,4,77,33,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,69,5,4,1063,1019,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,70,5,4,76,32,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,71,5,4,74,30,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,74,6,5,1244,1096 104,SLL IP UDP QUIC QUIC,Initial Retry,TLS Client Hello,NEW_TOKEN,long long
15:03.5,1614302103,75,6,5,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.5,1614302103,76,6,5,303,210 49,SLL IP UDP QUIC QUIC,Handshake Initial,ACK,ACK,long long
15:03.5,1614302103,77,6,5,1244,1114 86,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.5,1614302103,78,6,5,487,443,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,79,6,5,162,47 71,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.5,1614302103,80,6,5,245,201,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,81,6,5,124,80,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,82,6,5,77,33,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,83,6,5,1063,1019,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,84,6,5,76,32,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,85,6,5,74,30,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,88,7,6,1244,1102 98,SLL IP UDP QUIC QUIC,Initial Retry,TLS Client Hello,NEW_TOKEN,long long
15:03.5,1614302103,89,7,6,1296,1252,SLL IP UDP QUIC,Initial,TLS Server Hello,NEW_TOKEN,long
15:03.5,1614302103,90,7,6,297,204 49,SLL IP UDP QUIC QUIC,Handshake Initial,ACK,ACK,long long
15:03.5,1614302103,91,7,6,1244,1114 86,SLL IP UDP QUIC QUIC,Initial Handshake,ACK,ACK,long long
15:03.5,1614302103,92,7,6,487,443,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,93,7,6,162,47 71,SLL IP UDP QUIC QUIC,Handshake,,,long short
15:03.5,1614302103,94,7,6,245,201,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,95,7,6,124,80,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,96,7,6,77,33,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,97,7,6,1063,1019,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,98,7,6,76,32,SLL IP UDP QUIC,,,,short
15:03.5,1614302103,99,7,6,74,30,SLL IP UDP QUIC,,,,short
