Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,5.87010383605957,0,13,12194,12,5,9701,1921,
1,3.598928451538086,0,12,6397,8,8,3960,1909,
2,4.430055618286133,0,12,6396,8,8,3959,1909,
3,3.15093994140625,0,12,6398,8,8,3961,1909,
4,3.5789012908935547,0,12,6391,8,8,3954,1909,
5,3.6101341247558594,0,12,6395,8,8,3958,1909,
6,2.917051315307617,0,12,6389,8,8,3952,1909,
7,3.3800601959228516,0,12,6394,8,8,3957,1909,
8,3.554105758666992,0,12,6391,8,8,3954,1909,
9,3.2830238342285156,0,12,6398,8,8,3961,1909,
10,3.1321048736572266,0,12,6393,8,8,3956,1909,
11,3.350973129272461,0,12,6397,8,8,3960,1909,
12,4.185914993286133,0,12,6387,8,8,3950,1909,
13,3.47900390625,0,12,6389,8,8,3952,1909,
14,3.565073013305664,0,12,6399,8,8,3962,1909,
15,3.7288665771484375,0,12,6396,8,8,3959,1909,
16,3.6859512329101562,0,12,6393,8,8,3956,1909,
17,3.834962844848633,0,12,6392,8,8,3955,1909,
18,3.5140514373779297,0,12,6396,8,8,3959,1909,
19,3.309965133666992,0,12,6392,8,8,3955,1909,
20,3.4389495849609375,0,12,6393,8,8,3956,1909,
21,3.4308433532714844,0,12,6388,8,8,3951,1909,
22,3.162860870361328,0,12,6394,8,8,3957,1909,
23,3.426790237426758,0,12,6388,8,8,3951,1909,
24,3.549814224243164,0,12,6391,8,8,3954,1909,
25,3.329038619995117,0,12,6387,8,8,3950,1909,
26,3.6468505859375,0,12,6395,8,8,3958,1909,
27,4.03594970703125,0,12,6389,8,8,3952,1909,
28,3.837108612060547,0,12,6397,8,8,3960,1909,
29,3.7469863891601562,0,12,6389,8,8,3952,1909,
30,3.5741329193115234,0,12,6398,8,8,3961,1909,
31,3.133058547973633,0,12,6396,8,8,3959,1909,
32,3.1349658966064453,0,12,6394,8,8,3957,1909,
33,3.223896026611328,0,12,6388,8,8,3951,1909,
34,3.548145294189453,0,12,6389,8,8,3952,1909,
35,3.429889678955078,0,12,6392,8,8,3955,1909,
36,3.7300586700439453,0,12,6390,8,8,3953,1909,
37,3.3349990844726562,0,12,6393,8,8,3956,1909,
38,3.751039505004883,0,12,6387,8,8,3950,1909,
39,3.4608840942382812,0,12,6391,8,8,3954,1909,
40,3.9370059967041016,0,12,6392,8,8,3955,1909,
41,3.796100616455078,0,12,6387,8,8,3950,1909,
42,3.3919811248779297,0,12,6392,8,8,3955,1909,
43,3.949880599975586,0,12,6394,8,8,3957,1909,
44,4.307031631469727,0,12,6394,8,8,3957,1909,
45,3.6470890045166016,0,12,6397,8,8,3960,1909,
46,5.047082901000977,0,12,6387,8,8,3950,1909,
47,3.7720203399658203,0,12,6395,8,8,3958,1909,
48,3.139019012451172,0,12,6390,8,8,3953,1909,
49,3.612041473388672,0,12,6398,8,8,3961,1909,
50,3.572225570678711,0,12,6393,8,8,3956,1909,
51,3.4589767456054688,0,12,6398,8,8,3961,1909,
52,3.8568973541259766,0,12,6392,8,8,3955,1909,
53,3.5080909729003906,0,12,6389,8,8,3952,1909,
54,3.4821033477783203,0,12,6387,8,8,3950,1909,
55,3.7560462951660156,0,12,6394,8,8,3957,1909,
56,3.6840438842773438,0,12,6387,8,8,3950,1909,
57,3.5707950592041016,0,12,6389,8,8,3952,1909,
58,3.4630298614501953,0,12,6389,8,8,3952,1909,
59,4.702091217041016,0,12,6391,8,8,3954,1909,
60,3.3049583435058594,0,12,6398,8,8,3961,1909,
61,3.3788681030273438,0,12,6397,8,8,3960,1909,
62,3.4008026123046875,0,12,6398,8,8,3961,1909,
63,3.4699440002441406,0,12,6395,8,8,3958,1909,
64,3.23486328125,0,12,6396,8,8,3959,1909,
65,3.6590099334716797,0,12,6392,8,8,3955,1909,
66,4.593849182128906,0,12,6388,8,8,3951,1909,
67,3.3118724822998047,0,12,6390,8,8,3953,1909,
68,3.2110214233398438,0,12,6395,8,8,3958,1909,
69,3.6859512329101562,0,12,6399,8,8,3962,1909,
70,3.545999526977539,0,12,6396,8,8,3959,1909,
71,4.375934600830078,0,12,6390,8,8,3953,1909,
72,3.3631324768066406,0,12,6394,8,8,3957,1909,
73,3.695964813232422,0,12,6388,8,8,3951,1909,
74,3.2470226287841797,0,12,6393,8,8,3956,1909,
75,3.1981468200683594,0,12,6399,8,8,3962,1909,
76,3.5448074340820312,0,12,6399,8,8,3962,1909,
77,3.6919116973876953,0,12,6390,8,8,3953,1909,
78,3.498077392578125,0,12,6391,8,8,3954,1909,
79,3.612995147705078,0,12,6398,8,8,3961,1909,
80,3.329038619995117,0,12,6395,8,8,3958,1909,
81,3.4749507904052734,0,12,6397,8,8,3960,1909,
82,3.2770633697509766,0,12,6397,8,8,3960,1909,
83,3.484010696411133,0,12,6390,8,8,3953,1909,
84,3.381967544555664,0,12,6392,8,8,3955,1909,
85,3.570079803466797,0,12,6394,8,8,3957,1909,
86,3.2792091369628906,0,12,6398,8,8,3961,1909,
87,3.7310123443603516,0,12,6394,8,8,3957,1909,
88,3.5309791564941406,0,12,6390,8,8,3953,1909,
89,3.238201141357422,0,12,6388,8,8,3951,1909,
90,3.292083740234375,0,12,6391,8,8,3954,1909,
91,3.4699440002441406,0,12,6389,8,8,3952,1909,
92,4.370927810668945,0,12,6398,8,8,3961,1909,
93,3.409862518310547,0,12,6395,8,8,3958,1909,
94,3.7190914154052734,0,12,6388,8,8,3951,1909,
95,3.7338733673095703,0,12,6398,8,8,3961,1909,
96,3.448963165283203,0,12,6395,8,8,3958,1909,
97,3.609895706176758,0,12,6387,8,8,3950,1909,
98,3.6001205444335938,0,12,6395,8,8,3958,1909,
99,2.9790401458740234,0,12,6390,8,8,3953,1909,
100,3.568887710571289,0,12,6399,8,8,3962,1909,
101,3.551006317138672,0,12,6387,8,8,3950,1909,
102,3.7689208984375,0,12,6397,8,8,3960,1909,
103,6.784915924072266,0,12,6393,8,8,3956,1909,
104,3.365039825439453,0,12,6388,8,8,3951,1909,
105,3.2210350036621094,0,12,6393,8,8,3956,1909,
106,3.8869380950927734,0,12,6390,8,8,3953,1909,
107,3.384828567504883,0,12,6392,8,8,3955,1909,
108,3.509998321533203,0,12,6389,8,8,3952,1909,
109,3.2088756561279297,0,12,6389,8,8,3952,1909,
110,4.765987396240234,0,12,6395,8,8,3958,1909,
111,3.4089088439941406,0,12,6388,8,8,3951,1909,
112,3.652811050415039,0,12,6390,8,8,3953,1909,
113,3.8750171661376953,0,12,6397,8,8,3960,1909,
114,3.668069839477539,0,12,6393,8,8,3956,1909,
115,3.342151641845703,0,12,6399,8,8,3962,1909,
116,3.312826156616211,0,12,6392,8,8,3955,1909,
117,3.553152084350586,0,12,6394,8,8,3957,1909,
118,3.431081771850586,0,12,6391,8,8,3954,1909,
119,3.7980079650878906,0,12,6388,8,8,3951,1909,
120,3.3288002014160156,0,12,6392,8,8,3955,1909,
121,5.825042724609375,0,12,6399,8,8,3962,1909,
122,4.276037216186523,0,12,6398,8,8,3961,1909,
123,3.431081771850586,0,12,6399,8,8,3962,1909,
124,3.298044204711914,0,12,6388,8,8,3951,1909,
125,3.9169788360595703,0,12,6395,8,8,3958,1909,
126,3.4220218658447266,0,12,6389,8,8,3952,1909,
127,3.5059452056884766,0,12,6395,8,8,3958,1909,
128,3.5250186920166016,0,12,6397,8,8,3960,1909,
129,3.3609867095947266,0,12,6390,8,8,3953,1909,
130,3.5119056701660156,0,12,6389,8,8,3952,1909,
131,3.7479400634765625,0,12,6393,8,8,3956,1909,
132,3.8309097290039062,0,12,6398,8,8,3961,1909,
133,3.4301280975341797,0,12,6389,8,8,3952,1909,
134,4.232883453369141,0,12,6391,8,8,3954,1909,
135,3.4759044647216797,0,12,6401,8,8,3962,1911,
136,4.171848297119141,0,12,6396,8,8,3959,1909,
137,3.648042678833008,0,12,6387,8,8,3950,1909,
138,3.8509368896484375,0,12,6398,8,8,3961,1909,
139,3.4570693969726562,0,12,6392,8,8,3955,1909,
140,3.8039684295654297,0,12,6397,8,8,3960,1909,
141,3.8039684295654297,0,12,6397,8,8,3960,1909,
142,5.462169647216797,0,12,6387,8,8,3950,1909,
143,3.531932830810547,0,12,6387,8,8,3950,1909,
144,3.4210681915283203,0,12,6391,8,8,3954,1909,
145,3.650188446044922,0,12,6390,8,8,3953,1909,
146,3.6780834197998047,0,12,6394,8,8,3957,1909,
147,3.409862518310547,0,12,6392,8,8,3955,1909,
148,3.3791065216064453,0,12,6387,8,8,3950,1909,
149,4.261016845703125,0,12,6393,8,8,3955,1910,
150,3.381013870239258,0,12,6399,8,8,3962,1909,
151,3.4520626068115234,0,12,6392,8,8,3955,1909,
152,3.370046615600586,0,12,6392,8,8,3955,1909,
153,3.3388137817382812,0,12,6399,8,8,3962,1909,
154,3.9081573486328125,0,12,6388,8,8,3951,1909,
155,3.468036651611328,0,12,6388,8,8,3951,1909,
156,3.7810802459716797,0,12,6391,8,8,3954,1909,
157,4.474878311157227,0,12,6397,8,8,3960,1909,
158,3.2579898834228516,0,12,6393,8,8,3956,1909,
159,3.27301025390625,0,12,6390,8,8,3953,1909,
160,3.525972366333008,0,12,6398,8,8,3961,1909,
161,3.801107406616211,0,12,6396,8,8,3959,1909,
162,3.607034683227539,0,12,6395,8,8,3958,1909,
163,3.4799575805664062,0,12,6389,8,8,3952,1909,
164,3.9129257202148438,0,12,6391,8,8,3954,1909,
165,3.2880306243896484,0,12,6394,8,8,3957,1909,
166,3.6170482635498047,0,12,6399,8,8,3962,1909,
167,3.5800933837890625,0,12,6393,8,8,3956,1909,
168,4.34112548828125,0,12,6388,8,8,3951,1909,
169,3.62396240234375,0,12,6398,8,8,3961,1909,
170,5.181074142456055,0,12,6387,8,8,3950,1909,
171,3.4799575805664062,0,12,6387,8,8,3950,1909,
172,3.567934036254883,0,12,6388,8,8,3951,1909,
173,3.5970211029052734,0,12,6399,8,8,3962,1909,
174,3.9849281311035156,0,12,6399,8,8,3962,1909,
175,4.708051681518555,0,12,6392,8,8,3955,1909,
176,3.473997116088867,0,12,6398,8,8,3961,1909,
177,3.751993179321289,0,12,6393,8,8,3956,1909,
178,3.3349990844726562,0,12,6391,8,8,3954,1909,
179,3.261089324951172,0,12,6394,8,8,3957,1909,
180,3.108978271484375,0,12,6398,8,8,3961,1909,
181,3.365039825439453,0,12,6398,8,8,3961,1909,
182,5.50389289855957,0,12,6389,8,8,3952,1909,
183,3.3309459686279297,0,12,6394,8,8,3957,1909,
184,3.5920143127441406,0,12,6392,8,8,3955,1909,
185,3.592967987060547,0,12,6398,8,8,3961,1909,
186,3.6869049072265625,0,12,6388,8,8,3951,1909,
187,4.380941390991211,0,12,6390,8,8,3953,1909,
188,3.545045852661133,0,12,6398,8,8,3961,1909,
189,3.425121307373047,0,12,6391,8,8,3954,1909,
190,3.3190250396728516,0,12,6395,8,8,3958,1909,
191,3.451108932495117,0,12,6392,8,8,3955,1909,
192,3.4880638122558594,0,12,6398,8,8,3961,1909,
193,4.131078720092773,0,12,6399,8,8,3962,1909,
194,3.632068634033203,0,12,6389,8,8,3952,1909,
195,3.6242008209228516,0,12,6390,8,8,3953,1909,
196,3.7031173706054688,0,12,6389,8,8,3952,1909,
197,3.6590099334716797,0,12,6390,8,8,3953,1909,
198,3.648042678833008,0,12,6393,8,8,3956,1909,
199,3.4019947052001953,0,12,6397,8,8,3960,1909,
200,5.667924880981445,0,12,6398,8,8,3961,1909,
201,3.5369396209716797,0,12,6390,8,8,3953,1909,
202,4.208803176879883,0,12,6389,8,8,3952,1909,
203,3.3049583435058594,0,12,6399,8,8,3962,1909,
204,3.983020782470703,0,12,6391,8,8,3954,1909,
205,3.144979476928711,0,12,6391,8,8,3954,1909,
206,3.7338733673095703,0,12,6392,8,8,3955,1909,
207,3.7801265716552734,0,12,6392,8,8,3955,1909,
208,3.4880638122558594,0,12,6388,8,8,3951,1909,
209,3.8650035858154297,0,12,6392,8,8,3955,1909,
210,3.5429000854492188,0,12,6393,8,8,3956,1909,
211,4.705190658569336,0,12,6398,8,8,3961,1909,
212,3.2188892364501953,0,12,6390,8,8,3953,1909,
213,3.3240318298339844,0,12,6397,8,8,3960,1909,
214,3.2749176025390625,0,12,6398,8,8,3961,1909,
215,4.030942916870117,0,12,6388,8,8,3951,1909,
216,3.45611572265625,0,12,6398,8,8,3961,1909,
217,4.382848739624023,0,12,6394,8,8,3957,1909,
218,3.6270618438720703,0,12,6391,8,8,3954,1909,
219,4.131793975830078,0,12,6392,8,8,3955,1909,
220,3.3659934997558594,0,12,6388,8,8,3951,1909,
221,3.6640167236328125,0,12,6387,8,8,3950,1909,
222,3.6499500274658203,0,12,6396,8,8,3959,1909,
223,3.6890506744384766,0,12,6394,8,8,3957,1909,
224,3.863811492919922,0,12,6391,8,8,3954,1909,
225,3.4799575805664062,0,12,6399,8,8,3962,1909,
226,3.8309097290039062,0,12,6391,8,8,3954,1909,
227,3.297090530395508,0,12,6389,8,8,3952,1909,
228,3.7941932678222656,0,12,6392,8,8,3955,1909,
229,5.321025848388672,0,12,6387,8,8,3950,1909,
230,3.5011768341064453,0,12,6398,8,8,3961,1909,
231,3.782987594604492,0,12,6393,8,8,3956,1909,
232,3.490924835205078,0,12,6394,8,8,3957,1909,
233,3.420114517211914,0,12,6395,8,8,3958,1909,
234,3.423929214477539,0,12,6397,8,8,3960,1909,
235,3.2529830932617188,0,12,6397,8,8,3960,1909,
236,3.381013870239258,0,12,6398,8,8,3961,1909,
237,3.4601688385009766,0,12,6392,8,8,3955,1909,
238,3.731966018676758,0,12,6393,8,8,3956,1909,
239,3.1740665435791016,0,12,6396,8,8,3959,1909,
240,3.5059452056884766,0,12,6391,8,8,3954,1909,
241,3.448963165283203,0,12,6398,8,8,3961,1909,
242,4.194021224975586,0,12,6392,8,8,3955,1909,
243,4.214048385620117,0,12,6390,8,8,3953,1909,
244,3.5810470581054688,0,12,6397,8,8,3960,1909,
245,3.6389827728271484,0,12,6395,8,8,3958,1909,
246,3.5309791564941406,0,12,6390,8,8,3953,1909,
247,3.3512115478515625,0,12,6395,8,8,3958,1909,
248,3.1499862670898438,0,12,6388,8,8,3951,1909,
249,4.15492057800293,0,12,6387,8,8,3950,1909,
250,3.9780139923095703,0,12,6391,8,8,3954,1909,
251,3.473043441772461,0,12,6387,8,8,3950,1909,
252,3.748178482055664,0,12,6393,8,8,3956,1909,
253,3.3791065216064453,0,12,6396,8,8,3959,1909,
254,3.576993942260742,0,12,6389,8,8,3952,1909,
255,3.370046615600586,0,12,6395,8,8,3958,1909,
256,4.045009613037109,0,12,6390,8,8,3953,1909,
257,3.3168792724609375,0,12,6392,8,8,3955,1909,
258,4.001855850219727,0,12,6397,8,8,3960,1909,
259,3.551959991455078,0,12,6394,8,8,3957,1909,
260,4.47392463684082,0,12,6388,8,8,3951,1909,
261,4.0149688720703125,0,12,6399,8,8,3962,1909,
262,3.3111572265625,0,12,6388,8,8,3951,1909,
263,3.6101341247558594,0,12,6390,8,8,3953,1909,
