Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
0,5.414009094238281,0,13,12183,12,5,9690,1921,
1,4.112958908081055,0,12,6397,8,8,3960,1909,
2,3.33404541015625,0,12,6387,8,8,3950,1909,
3,4.073143005371094,0,12,6388,8,8,3951,1909,
4,4.667997360229492,0,12,6393,8,8,3956,1909,
5,3.756999969482422,0,12,6399,8,8,3962,1909,
6,3.108978271484375,0,12,6388,8,8,3951,1909,
7,3.8640499114990234,0,12,6388,8,8,3951,1909,
8,3.7488937377929688,0,12,6391,8,8,3954,1909,
9,3.735065460205078,0,12,6397,8,8,3960,1909,
10,3.484010696411133,0,12,6393,8,8,3956,1909,
11,3.988027572631836,0,12,6396,8,8,3959,1909,
12,3.5419464111328125,0,12,6387,8,8,3950,1909,
13,3.172159194946289,0,12,6392,8,8,3955,1909,
14,3.7059783935546875,0,12,6397,8,8,3960,1909,
15,3.3659934997558594,0,12,6396,8,8,3959,1909,
16,4.410982131958008,0,12,6388,8,8,3951,1909,
17,3.3979415893554688,0,12,6388,8,8,3951,1909,
18,3.694772720336914,0,12,6399,8,8,3962,1909,
19,3.702878952026367,0,12,6399,8,8,3962,1909,
20,3.551006317138672,0,12,6398,8,8,3961,1909,
21,3.9680004119873047,0,12,6393,8,8,3956,1909,
22,3.6640167236328125,0,12,6387,8,8,3950,1909,
23,4.668951034545898,0,12,6387,8,8,3950,1909,
24,3.111124038696289,0,12,6394,8,8,3957,1909,
25,3.895998001098633,0,12,6398,8,8,3961,1909,
26,4.698991775512695,0,12,6398,8,8,3961,1909,
27,3.7250518798828125,0,12,6393,8,8,3956,1909,
28,3.4360885620117188,0,12,6393,8,8,3956,1909,
29,3.4160614013671875,0,12,6398,8,8,3961,1909,
30,4.21595573425293,0,12,6387,8,8,3950,1909,
31,3.651142120361328,0,12,6397,8,8,3960,1909,
32,3.564119338989258,0,12,6388,8,8,3951,1909,
33,3.5469532012939453,0,12,6393,8,8,3956,1909,
34,3.3080577850341797,0,12,6392,8,8,3955,1909,
35,3.428936004638672,0,12,6393,8,8,3956,1909,
36,3.943920135498047,0,12,6390,8,8,3953,1909,
37,4.084110260009766,0,12,6387,8,8,3950,1909,
38,3.567218780517578,0,12,6399,8,8,3962,1909,
39,3.4661293029785156,0,12,6389,8,8,3952,1909,
40,3.0450820922851562,0,12,6397,8,8,3960,1909,
41,4.001140594482422,0,12,6389,8,8,3952,1909,
42,3.607034683227539,0,12,6392,8,8,3955,1909,
43,4.083871841430664,0,12,6394,8,8,3957,1909,
44,3.389120101928711,0,12,6397,8,8,3960,1909,
45,3.895998001098633,0,12,6394,8,8,3957,1909,
46,3.2160282135009766,0,12,6394,8,8,3957,1909,
47,3.371000289916992,0,12,6389,8,8,3952,1909,
48,4.102945327758789,0,12,6388,8,8,3951,1909,
49,4.203081130981445,0,12,6392,8,8,3955,1909,
50,4.058122634887695,0,12,6389,8,8,3952,1909,
51,4.204034805297852,0,12,6398,8,8,3961,1909,
52,3.276824951171875,0,12,6391,8,8,3954,1909,
53,3.2770633697509766,0,12,6392,8,8,3955,1909,
54,3.584146499633789,0,12,6391,8,8,3954,1909,
55,3.5331249237060547,0,12,6396,8,8,3959,1909,
56,3.5789012908935547,0,12,6387,8,8,3950,1909,
57,3.5200119018554688,0,12,6397,8,8,3960,1909,
58,3.420114517211914,0,12,6399,8,8,3962,1909,
59,3.976106643676758,0,12,6399,8,8,3962,1909,
60,3.422975540161133,0,12,6388,8,8,3951,1909,
61,4.175901412963867,0,12,6396,8,8,3959,1909,
62,3.645181655883789,0,12,6388,8,8,3951,1909,
63,3.4499168395996094,0,12,6394,8,8,3957,1909,
64,3.4029483795166016,0,12,6390,8,8,3953,1909,
65,3.2491683959960938,0,12,6399,8,8,3962,1909,
66,4.338979721069336,0,12,6396,8,8,3959,1909,
67,3.799915313720703,0,12,6388,8,8,3951,1909,
68,3.782033920288086,0,12,6389,8,8,3952,1909,
69,3.423929214477539,0,12,6399,8,8,3962,1909,
70,4.824161529541016,0,12,6388,8,8,3951,1909,
71,3.27301025390625,0,12,6395,8,8,3958,1909,
72,3.2629966735839844,0,12,6398,8,8,3961,1909,
73,4.043102264404297,0,12,6391,8,8,3954,1909,
74,3.365039825439453,0,12,6387,8,8,3950,1909,
75,3.7178993225097656,0,12,6393,8,8,3956,1909,
76,3.6199092864990234,0,12,6387,8,8,3950,1909,
77,6.579160690307617,0,12,6398,8,8,3961,1909,
78,3.172159194946289,0,12,6397,8,8,3960,1909,
79,3.515005111694336,0,12,6388,8,8,3951,1909,
80,3.1690597534179688,0,12,6389,8,8,3952,1909,
81,3.400087356567383,0,12,6398,8,8,3961,1909,
82,3.4279823303222656,0,12,6394,8,8,3957,1909,
83,3.280162811279297,0,12,6391,8,8,3954,1909,
84,3.304004669189453,0,12,6396,8,8,3959,1909,
85,4.464864730834961,0,12,6387,8,8,3950,1909,
86,3.793954849243164,0,12,6391,8,8,3954,1909,
87,3.8008689880371094,0,12,6396,8,8,3959,1909,
88,3.893136978149414,0,12,6397,8,8,3960,1909,
89,3.3478736877441406,0,12,6399,8,8,3962,1909,
90,3.7689208984375,0,12,6387,8,8,3950,1909,
91,3.407001495361328,0,12,6392,8,8,3955,1909,
92,3.432035446166992,0,12,6391,8,8,3954,1909,
93,3.2851696014404297,0,12,6394,8,8,3957,1909,
94,3.713846206665039,0,12,6397,8,8,3960,1909,
95,3.3020973205566406,0,12,6397,8,8,3960,1909,
96,3.720998764038086,0,12,6387,8,8,3950,1909,
97,3.618955612182617,0,12,6392,8,8,3955,1909,
98,3.1499862670898438,0,12,6397,8,8,3960,1909,
